scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
A,16594,16594,,WT,12m,22210001.abf,Video 10439.wmv,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\22210001.abf,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\Video 10439.wmv,0.268,0.391
A,16594,16594,,WT,12m,22210002.abf,Video 10440.wmv,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\22210002.abf,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\Video 10440.wmv,0.268,0.485
A,16594,16594,,WT,12m,22210003.abf,Video 10441.wmv,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\22210003.abf,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\Video 10441.wmv,0.268,0.484
A,16594,16594,,WT,12m,22210004.abf,Video 10442.wmv,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\22210004.abf,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\Video 10442.wmv,0.268,0.53
A,16594,16594,,WT,12m,22210005.abf,Video 10443.wmv,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\22210005.abf,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\Video 10443.wmv,0.268,0.59
A,16594,16594,,WT,12m,22210006.abf,Video 10444.wmv,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\22210006.abf,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\Video 10444.wmv,0.268,0.587
A,16594,16594,,WT,12m,22211000.abf,Video 10445.wmv,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\22211000.abf,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\Video 10445.wmv,0.268,0.565
A,16594,16594,,WT,12m,22211001.abf,Video 10446.wmv,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\22211001.abf,F:\EEG\EEG 1yr\WT\16594_10Feb2022_1yr\Video 10446.wmv,0.268,0.504
A,16640,16640,,WT,12m,22118003.abf,Video 10321.wmv,F:\EEG\EEG 1yr\WT\16640_18Jan2022_1yr\22118003.abf,F:\EEG\EEG 1yr\WT\16640_18Jan2022_1yr\Video 10321.wmv,0.268,0.426
A,16640,16640,,WT,12m,22118004.abf,Video 10322.wmv,F:\EEG\EEG 1yr\WT\16640_18Jan2022_1yr\22118004.abf,F:\EEG\EEG 1yr\WT\16640_18Jan2022_1yr\Video 10322.wmv,0.268,0.469
