scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
B,16572,165722,2.0,WT,3m,21410004.abf,Video 6239.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21410004.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6239.wmv,0.134,1.428
B,16572,165722,2.0,WT,3m,21410005.abf,Video 6240.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21410005.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6240.wmv,0.134,1.304
B,16572,165722,2.0,WT,3m,21410006.abf,Video 6241.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21410006.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6241.wmv,0.134,0.674
B,16572,165722,2.0,WT,3m,21410007.abf,Video 6242.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21410007.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6242.wmv,0.134,0.599
B,16572,165722,2.0,WT,3m,21410008.abf,Video 6243.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\21410008.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16572_09Apr21\Video 6243.wmv,0.124,0.639
A,16594,16594,,WT,3m,21416010.abf,Video 6291.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21416010.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6291.wmv,0.134,0.524
A,16594,16594,,WT,3m,21416011.abf,Video 6292.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21416011.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6292.wmv,0.134,1.171
A,16594,16594,,WT,3m,21416012.abf,Video 6293.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21416012.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6293.wmv,0.134,1.368
A,16594,16594,,WT,3m,21416013.abf,Video 6294.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21416013.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6294.wmv,0.134,1.366
A,16594,16594,,WT,3m,21417000.abf,Video 6295.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417000.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6295.wmv,0.134,1.331
A,16594,16594,,WT,3m,21417001.abf,Video 6296.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417001.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6296.wmv,0.134,1.237
A,16594,16594,,WT,3m,21417002.abf,Video 6297.wmv,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\21417002.abf,F:\EEG\Baseline (24hrs)_3monthsold_before_KA\WT\16594_16Apr21\Video 6297.wmv,0.134,1.203
