scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
B,16572,165721,1.0,WT,7m,21810007.abf,Video 9656.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21810007.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9656.wmv,0.134,0.511
B,16572,165721,1.0,WT,7m,21810008.abf,Video 9658.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21810008.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9658.wmv,0.134,0.504
B,16572,165721,1.0,WT,7m,21810009.abf,Video 9662.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21810009.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9662.wmv,0.134,0.485
B,16572,165721,1.0,WT,7m,21810010.abf,Video 9664.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21810010.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9664.wmv,0.134,0.494
B,16572,165721,1.0,WT,7m,21810011.abf,Video 9666.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21810011.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9666.wmv,0.134,0.475
B,16572,165721,1.0,WT,7m,21810012.abf,Video 9668.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21810012.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9668.wmv,0.134,0.49
B,16572,165722,2.0,WT,7m,21811000.abf,Video 9670.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811000.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9670.wmv,0.134,0.493
B,16572,165722,2.0,WT,7m,21811001.abf,Video 9672.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811001.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9672.wmv,0.134,0.487
B,16572,165722,2.0,WT,7m,21811002.abf,Video 9674.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811002.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9674.wmv,0.134,0.499
B,16572,165722,2.0,WT,7m,21811003.abf,Video 9676.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811003.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9676.wmv,0.134,0.458
B,16572,165722,2.0,WT,7m,21811004.abf,Video 9678.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811004.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9678.wmv,0.134,0.475
B,16572,165722,2.0,WT,7m,21811005.abf,Video 9680.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811005.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9680.wmv,0.134,0.522
B,16572,165722,2.0,WT,7m,21811006.abf,Video 9682.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811006.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9682.wmv,0.134,0.502
B,16594,165941,1.0,WT,7m,21812009.abf,Video 6723.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21812009.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6723.wmv,0.134,0.819
B,16594,165941,1.0,WT,7m,21812010.abf,Video 6724.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21812010.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6724.wmv,0.134,0.94
B,16594,165941,1.0,WT,7m,21812011.abf,Video 6725.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21812011.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6725.wmv,0.134,0.983
B,16594,165942,2.0,WT,7m,21813000.abf,Video 6726.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21813000.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6726.wmv,0.134,0.928
B,16594,165942,2.0,WT,7m,21813001.abf,Video 6727.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21813001.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6727.wmv,0.134,0.92
B,16594,165942,2.0,WT,7m,21813002.abf,Video 6728.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21813002.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6728.wmv,0.134,0.657
B,16594,165942,2.0,WT,7m,21813003.abf,Video 6729.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21813003.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6729.wmv,0.134,0.429
B,16596,165961,1.0,WT,7m,21809001.abf,Video 9631.wmv,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\21809001.abf,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\Video 9631.wmv,0.134,0.53
B,16596,165961,1.0,WT,7m,21809002.abf,Video 9633.wmv,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\21809002.abf,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\Video 9633.wmv,0.134,0.498
