scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
A,16645,16645,,WT,6m,21701002.abf,Video 9462.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21701002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9462.wmv,0.134,0.765
A,16645,16645,,WT,6m,21701003.abf,Video 9464.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21701003.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9464.wmv,0.134,0.808
A,16645,16645,,WT,6m,21701004.abf,Video 9466.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21701004.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9466.wmv,0.134,0.706
A,16645,16645,,WT,6m,21701005.abf,Video 9468.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21701005.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9468.wmv,0.134,0.617
A,16645,16645,,WT,6m,21701006.abf,Video 9470.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21701006.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9470.wmv,0.134,0.666
A,16645,16645,,WT,6m,21701007.abf,Video 9472.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21701007.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9472.wmv,0.134,0.679
A,16645,16645,,WT,6m,21701008.abf,Video 9474.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21701008.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9474.wmv,0.134,0.779
A,16645,16645,,WT,6m,21701009.abf,Video 9476.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21701009.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9476.wmv,0.134,0.78
A,16645,16645,,WT,6m,21701010.abf,Video 9478.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21701010.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9478.wmv,0.134,0.777
A,16645,16645,,WT,6m,21701011.abf,Video 9480.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\21701011.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16645_30Jun21-6mon_Baeline\Video 9480.wmv,0.134,0.842
