scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
B,16572,165721,1.0,WT,4m,21507001.abf,Video 6436.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21507001.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6436.wmv,0.134,0.466
B,16572,165721,1.0,WT,4m,21507002.abf,Video 6437.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21507002.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6437.wmv,0.134,1.175
B,16572,165721,1.0,WT,4m,21507003.abf,Video 6438.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21507003.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6438.wmv,0.134,1.217
B,16572,165721,1.0,WT,4m,21507004.abf,Video 6439.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21507004.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6439.wmv,0.134,1.233
B,16572,165721,1.0,WT,4m,21507005.abf,Video 6440.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21507005.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6440.wmv,0.134,1.297
B,16572,165721,1.0,WT,4m,21508000.abf,Video 6441.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21508000.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6441.wmv,0.134,1.28
B,16572,165721,1.0,WT,4m,21508001.abf,Video 6442.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21508001.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6442.wmv,0.134,1.237
B,16572,165721,1.0,WT,4m,21508002.abf,Video 6443.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21508002.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6443.wmv,0.134,1.091
B,16572,165722,2.0,WT,4m,21507001.abf,Video 6436.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21507001.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6436.wmv,0.134,0.466
B,16572,165722,2.0,WT,4m,21507002.abf,Video 6437.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21507002.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6437.wmv,0.134,1.175
B,16572,165722,2.0,WT,4m,21507003.abf,Video 6438.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21507003.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6438.wmv,0.134,1.217
B,16572,165722,2.0,WT,4m,21507004.abf,Video 6439.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21507004.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6439.wmv,0.134,1.233
B,16572,165722,2.0,WT,4m,21507005.abf,Video 6440.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21507005.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6440.wmv,0.134,1.297
B,16572,165722,2.0,WT,4m,21508000.abf,Video 6441.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21508000.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6441.wmv,0.134,1.28
B,16572,165722,2.0,WT,4m,21508001.abf,Video 6442.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21508001.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6442.wmv,0.134,1.237
B,16572,165722,2.0,WT,4m,21508002.abf,Video 6443.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\21508002.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16572_07May21_20KA\Video 6443.wmv,0.134,1.091
B,16594,165941,1.0,WT,4m,21517010.abf,Video 9232.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\21517010.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\Video 9232.wmv,0.134,0.393
B,16594,165941,1.0,WT,4m,21517011.abf,Video 9234.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\21517011.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\Video 9234.wmv,0.134,0.398
B,16594,165941,1.0,WT,4m,21517012.abf,Video 9242.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\21517012.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\Video 9242.wmv,0.134,0.585
B,16594,165941,1.0,WT,4m,21517013.abf,Video 9244.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\21517013.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\Video 9244.wmv,0.134,0.604
B,16594,165941,1.0,WT,4m,21517014.abf,Video 9246.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\21517014.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\Video 9246.wmv,0.134,0.572
B,16594,165941,1.0,WT,4m,21518000.abf,Video 9248.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\21518000.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\Video 9248.wmv,0.134,0.503
B,16594,165942,2.0,WT,4m,21517010.abf,Video 9232.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\21517010.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\Video 9232.wmv,0.134,0.393
B,16594,165942,2.0,WT,4m,21517011.abf,Video 9234.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\21517011.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\Video 9234.wmv,0.134,0.398
B,16594,165942,2.0,WT,4m,21517012.abf,Video 9242.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\21517012.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\Video 9242.wmv,0.134,0.585
B,16594,165942,2.0,WT,4m,21517013.abf,Video 9244.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\21517013.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\Video 9244.wmv,0.134,0.604
B,16594,165942,2.0,WT,4m,21517014.abf,Video 9246.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\21517014.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\Video 9246.wmv,0.134,0.572
B,16594,165942,2.0,WT,4m,21518000.abf,Video 9248.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\21518000.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16594_17May21_20KA\Video 9248.wmv,0.134,0.503
B,16596,165961,1.0,WT,4m,21513008.abf,Video 6482.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16596_13May21_20KA\21513008.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16596_13May21_20KA\Video 6482.wmv,0.134,0.609
B,16596,165961,1.0,WT,4m,21513009.abf,Video 6483.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16596_13May21_20KA\21513009.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16596_13May21_20KA\Video 6483.wmv,0.134,1.757
B,16596,165961,1.0,WT,4m,21513010.abf,Video 6484.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16596_13May21_20KA\21513010.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16596_13May21_20KA\Video 6484.wmv,0.134,1.797
B,16596,165961,1.0,WT,4m,21513011.abf,Video 6485.wmv,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16596_13May21_20KA\21513011.abf,F:\EEG\EEG_After_20KA_i.p._Treatment\WT\16596_13May21_20KA\Video 6485.wmv,0.134,1.774
