scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
A,16572,16572,,WT,7m,21810007.abf,Video 9656.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21810007.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9656.wmv,0.134,0.511
A,16572,16572,,WT,7m,21810008.abf,Video 9658.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21810008.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9658.wmv,0.134,0.504
A,16572,16572,,WT,7m,21810009.abf,Video 9662.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21810009.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9662.wmv,0.134,0.485
A,16572,16572,,WT,7m,21810010.abf,Video 9664.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21810010.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9664.wmv,0.134,0.494
A,16572,16572,,WT,7m,21810011.abf,Video 9666.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21810011.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9666.wmv,0.134,0.475
A,16572,16572,,WT,7m,21810012.abf,Video 9668.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21810012.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9668.wmv,0.134,0.49
A,16572,16572,,WT,7m,21811000.abf,Video 9670.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811000.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9670.wmv,0.134,0.493
A,16572,16572,,WT,7m,21811001.abf,Video 9672.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811001.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9672.wmv,0.134,0.487
A,16572,16572,,WT,7m,21811002.abf,Video 9674.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811002.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9674.wmv,0.134,0.499
A,16572,16572,,WT,7m,21811003.abf,Video 9676.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811003.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9676.wmv,0.134,0.458
A,16572,16572,,WT,7m,21811004.abf,Video 9678.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811004.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9678.wmv,0.134,0.475
A,16572,16572,,WT,7m,21811005.abf,Video 9680.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811005.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9680.wmv,0.134,0.522
A,16572,16572,,WT,7m,21811006.abf,Video 9682.wmv,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\21811006.abf,F:\EEG\Baseline_7month\WT\16572_10Aug21_Baseline_7month\Video 9682.wmv,0.134,0.502
A,16594,16594,,WT,7m,21812009.abf,Video 6723.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21812009.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6723.wmv,0.134,0.819
A,16594,16594,,WT,7m,21812010.abf,Video 6724.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21812010.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6724.wmv,0.134,0.94
A,16594,16594,,WT,7m,21812011.abf,Video 6725.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21812011.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6725.wmv,0.134,0.983
A,16594,16594,,WT,7m,21813000.abf,Video 6726.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21813000.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6726.wmv,0.134,0.928
A,16594,16594,,WT,7m,21813001.abf,Video 6727.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21813001.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6727.wmv,0.134,0.92
A,16594,16594,,WT,7m,21813002.abf,Video 6728.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21813002.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6728.wmv,0.134,0.657
A,16594,16594,,WT,7m,21813003.abf,Video 6729.wmv,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\21813003.abf,F:\EEG\Baseline_7month\WT\16594(eartaglost)_12Aug21_Baseline_7month\Video 6729.wmv,0.134,0.429
A,16596,16596,,WT,7m,21809001.abf,Video 9631.wmv,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\21809001.abf,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\Video 9631.wmv,0.134,0.53
A,16596,16596,,WT,7m,21809002.abf,Video 9633.wmv,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\21809002.abf,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\Video 9633.wmv,0.134,0.498
A,16596,16596,,WT,7m,21809003.abf,Video 9635.wmv,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\21809003.abf,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\Video 9635.wmv,0.134,0.497
A,16596,16596,,WT,7m,21809004.abf,Video 9637.wmv,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\21809004.abf,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\Video 9637.wmv,0.134,0.413
A,16596,16596,,WT,7m,21809005.abf,Video 9647.wmv,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\21809005.abf,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\Video 9647.wmv,0.134,0.478
A,16596,16596,,WT,7m,21809006.abf,Video 9651.wmv,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\21809006.abf,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\Video 9651.wmv,0.134,0.512
A,16596,16596,,WT,7m,21809007.abf,Video 9653.wmv,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\21809007.abf,F:\EEG\Baseline_7month\WT\16596_09Aug21_Baseline_7month\Video 9653.wmv,0.134,0.643
A,16640,16640,,WT,7m,21814013.abf,Video 6748.wmv,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\21814013.abf,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\Video 6748.wmv,0.134,0.962
A,16640,16640,,WT,7m,21814014.abf,Video 6749.wmv,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\21814014.abf,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\Video 6749.wmv,0.134,1.08
A,16640,16640,,WT,7m,21814015.abf,Video 6750.wmv,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\21814015.abf,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\Video 6750.wmv,0.134,1.046
A,16640,16640,,WT,7m,21815000.abf,Video 6751.wmv,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\21815000.abf,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\Video 6751.wmv,0.134,1.085
A,16640,16640,,WT,7m,21815001.abf,Video 6752.wmv,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\21815001.abf,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\Video 6752.wmv,0.134,1.038
A,16640,16640,,WT,7m,21815002.abf,Video 6753.wmv,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\21815002.abf,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\Video 6753.wmv,0.134,1.059
A,16640,16640,,WT,7m,21815003.abf,Video 6754.wmv,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\21815003.abf,F:\EEG\Baseline_7month\WT\16640_14Aug21_Baseline_7month\Video 6754.wmv,0.134,1.111
A,16645,16645,,WT,7m,21818009.abf,Video 6775.wmv,F:\EEG\Baseline_7month\WT\16645_18Aug21_Baseline_7month\21818009.abf,F:\EEG\Baseline_7month\WT\16645_18Aug21_Baseline_7month\Video 6775.wmv,0.134,0.73
A,16645,16645,,WT,7m,21818010.abf,Video 6776.wmv,F:\EEG\Baseline_7month\WT\16645_18Aug21_Baseline_7month\21818010.abf,F:\EEG\Baseline_7month\WT\16645_18Aug21_Baseline_7month\Video 6776.wmv,0.134,0.799
A,16645,16645,,WT,7m,21819002.abf,Video 6777.wmv,F:\EEG\Baseline_7month\WT\16645_18Aug21_Baseline_7month\21819002.abf,F:\EEG\Baseline_7month\WT\16645_18Aug21_Baseline_7month\Video 6777.wmv,0.134,0.792
A,16645,16645,,WT,7m,21819003.abf,Video 6778.wmv,F:\EEG\Baseline_7month\WT\16645_18Aug21_Baseline_7month\21819003.abf,F:\EEG\Baseline_7month\WT\16645_18Aug21_Baseline_7month\Video 6778.wmv,0.134,0.856
