session_id,group,timepoint,abf_file,n_epochs,pct_wake,pct_nrem,pct_rem,animal_id
166002,KO,12m,22201003.abf,1800,68.22222222222221,31.722222222222225,0.05555555555555555,16600
166002,KO,12m,22201004.abf,1800,68.83333333333333,31.166666666666664,0.0,16600
166002,KO,12m,22201005.abf,1800,69.22222222222221,30.777777777777775,0.0,16600
166002,KO,12m,22201006.abf,1800,67.38888888888889,32.611111111111114,0.0,16600
166002,KO,12m,22201007.abf,1800,70.0,30.0,0.0,16600
166002,KO,12m,22201008.abf,1588,69.89924433249371,30.100755667506295,0.0,16600
166381,KO,12m,22113009.abf,1799,51.52862701500833,48.47137298499166,0.0,16638
166381,KO,12m,22113010.abf,1800,67.33333333333333,32.666666666666664,0.0,16638
166381,KO,12m,22113011.abf,1800,64.5,35.5,0.0,16638
166381,KO,12m,22113012.abf,1800,58.27777777777777,41.72222222222222,0.0,16638
166381,KO,12m,22113013.abf,1800,61.5,38.5,0.0,16638
166381,KO,12m,22114000.abf,1800,56.777777777777786,43.22222222222222,0.0,16638
166382,KO,12m,22114001.abf,1800,60.88888888888889,39.111111111111114,0.0,16638
166382,KO,12m,22114002.abf,1800,62.16666666666667,37.833333333333336,0.0,16638
166382,KO,12m,22114003.abf,1795,64.12256267409471,35.65459610027855,0.22284122562674097,16638
166382,KO,12m,22114004.abf,1800,63.44444444444445,36.55555555555556,0.0,16638
166382,KO,12m,22114005.abf,1800,62.11111111111111,37.888888888888886,0.0,16638
166382,KO,12m,22114006.abf,1790,52.402234636871505,47.59776536312849,0.0,16638
166401,WT,12m,22118003.abf,1800,55.111111111111114,44.888888888888886,0.0,16640
166401,WT,12m,22118004.abf,1800,62.66666666666667,37.333333333333336,0.0,16640
166401,WT,12m,22118005.abf,1800,59.38888888888889,40.61111111111111,0.0,16640
166401,WT,12m,22118006.abf,1800,56.44444444444444,43.55555555555555,0.0,16640
166401,WT,12m,22118007.abf,1784,60.76233183856502,39.23766816143498,0.0,16640
166401,WT,12m,22119000.abf,1748,59.610983981693366,40.389016018306634,0.0,16640
166401,WT,12m,22119001.abf,1798,63.62625139043382,36.373748609566185,0.0,16640
166401,WT,12m,22119002.abf,1477,70.34529451591062,29.654705484089373,0.0,16640
166401,WT,12m,22119003.abf,1800,78.38888888888889,21.444444444444443,0.16666666666666669,16640
166401,WT,12m,22119004.abf,1628,75.7985257985258,23.894348894348894,0.3071253071253071,16640
166401,WT,12m,22119005.abf,1800,65.72222222222223,34.27777777777778,0.0,16640
166401,WT,12m,22119006.abf,1800,73.27777777777777,26.333333333333332,0.3888888888888889,16640
166401,WT,12m,22119007.abf,1800,71.5,28.499999999999996,0.0,16640
166401,WT,12m,22119008.abf,1505,75.9468438538206,24.053156146179404,0.0,16640
166401,WT,12m,22119009.abf,1799,52.58476931628683,47.359644246803775,0.055586436909394105,16640
166402,WT,12m,22120000.abf,1800,65.16666666666666,34.833333333333336,0.0,16640
166402,WT,12m,22120001.abf,1800,64.55555555555556,35.44444444444444,0.0,16640
166402,WT,12m,22120002.abf,1800,61.55555555555555,38.44444444444444,0.0,16640
166402,WT,12m,22120003.abf,1800,67.72222222222221,32.27777777777778,0.0,16640
166402,WT,12m,22120004.abf,1800,66.61111111111111,33.38888888888889,0.0,16640
166402,WT,12m,22120005.abf,1800,68.11111111111111,31.88888888888889,0.0,16640
166402,WT,12m,22120006.abf,1800,67.55555555555556,32.44444444444444,0.0,16640
166402,WT,12m,22121000.abf,1800,62.44444444444445,37.55555555555555,0.0,16640
166402,WT,12m,22121001.abf,1800,62.0,38.0,0.0,16640
166402,WT,12m,22121002.abf,1800,61.83333333333333,38.166666666666664,0.0,16640
166402,WT,12m,22121003.abf,1800,60.66666666666667,39.33333333333333,0.0,16640
166402,WT,12m,22121004.abf,1800,68.55555555555556,31.444444444444446,0.0,16640
166402,WT,12m,22121005.abf,1800,68.55555555555556,31.444444444444446,0.0,16640
166402,WT,12m,22121006.abf,1800,67.88888888888889,32.111111111111114,0.0,16640
166402,WT,12m,22121007.abf,1654,66.50544135429263,33.49455864570738,0.0,16640
166531,WT,12m,22214000.abf,1800,70.66666666666667,29.27777777777778,0.05555555555555555,16653
166531,WT,12m,22214001.abf,1800,68.11111111111111,31.88888888888889,0.0,16653
166531,WT,12m,22214002.abf,1800,70.22222222222221,29.5,0.2777777777777778,16653
166531,WT,12m,22214003.abf,1800,68.38888888888889,31.61111111111111,0.0,16653
166531,WT,12m,22214004.abf,1800,69.77777777777779,30.055555555555557,0.16666666666666669,16653
166531,WT,12m,22214005.abf,1800,67.05555555555556,32.94444444444444,0.0,16653
166531,WT,12m,22214006.abf,1800,66.83333333333333,33.166666666666664,0.0,16653
166531,WT,12m,22215000.abf,1800,68.11111111111111,31.88888888888889,0.0,16653
166531,WT,12m,22215001.abf,1800,64.11111111111111,35.888888888888886,0.0,16653
166531,WT,12m,22215002.abf,1800,64.72222222222223,35.27777777777778,0.0,16653
166531,WT,12m,22215003.abf,1800,63.66666666666667,36.333333333333336,0.0,16653
166531,WT,12m,22215004.abf,1800,65.61111111111111,34.38888888888889,0.0,16653
166531,WT,12m,22215005.abf,1800,70.38888888888889,29.61111111111111,0.0,16653
166531,WT,12m,22215006.abf,1800,68.33333333333333,31.666666666666664,0.0,16653
166531,WT,12m,22215007.abf,1800,67.88888888888889,32.111111111111114,0.0,16653
166531,WT,12m,22215008.abf,1800,67.55555555555556,32.44444444444444,0.0,16653
166531,WT,12m,22215009.abf,1800,70.0,30.0,0.0,16653
166531,WT,12m,22215010.abf,1800,69.5,30.5,0.0,16653
166531,WT,12m,22215011.abf,1800,68.72222222222221,31.277777777777775,0.0,16653
166531,WT,12m,22216000.abf,1800,66.0,34.0,0.0,16653
166531,WT,12m,22216001.abf,1800,69.0,31.0,0.0,16653
166531,WT,12m,22216002.abf,1800,68.77777777777779,31.222222222222225,0.0,16653
166532,WT,12m,22216003.abf,1800,70.5,29.5,0.0,16653
166532,WT,12m,22216004.abf,1800,69.55555555555556,30.444444444444446,0.0,16653
166532,WT,12m,22216005.abf,1800,70.22222222222221,29.777777777777775,0.0,16653
166532,WT,12m,22216006.abf,1800,70.72222222222221,29.27777777777778,0.0,16653
166532,WT,12m,22216007.abf,1800,67.22222222222223,32.77777777777778,0.0,16653
166532,WT,12m,22216008.abf,1800,61.27777777777778,38.72222222222222,0.0,16653
166532,WT,12m,22216009.abf,1800,64.61111111111111,35.388888888888886,0.0,16653
166532,WT,12m,22216010.abf,1800,57.88888888888889,42.11111111111111,0.0,16653
