session_id,group,timepoint,abf_file,n_epochs,pct_wake,pct_nrem,pct_rem,animal_id
165721,WT,7m,21810007.abf,1783,57.87997756590016,42.12002243409983,0.0,16572
165721,WT,7m,21810008.abf,1800,66.0,34.0,0.0,16572
165721,WT,7m,21810009.abf,1784,57.51121076233184,42.488789237668165,0.0,16572
165721,WT,7m,21810010.abf,1800,61.5,38.5,0.0,16572
165721,WT,7m,21810011.abf,1800,59.166666666666664,40.833333333333336,0.0,16572
165721,WT,7m,21810012.abf,1800,63.66666666666667,36.333333333333336,0.0,16572
165722,WT,7m,21811000.abf,1800,63.77777777777778,36.22222222222222,0.0,16572
165722,WT,7m,21811001.abf,1800,60.55555555555555,39.44444444444444,0.0,16572
165722,WT,7m,21811002.abf,1800,63.61111111111111,36.388888888888886,0.0,16572
165722,WT,7m,21811003.abf,1800,64.16666666666667,35.833333333333336,0.0,16572
165722,WT,7m,21811004.abf,1799,62.36798221234019,37.63201778765981,0.0,16572
165941,WT,7m,21812009.abf,1800,65.05555555555556,34.94444444444444,0.0,16594
165941,WT,7m,21812010.abf,1800,66.94444444444444,33.05555555555556,0.0,16594
165941,WT,7m,21812011.abf,1800,61.44444444444444,38.55555555555556,0.0,16594
165942,WT,7m,21813000.abf,1800,61.66666666666667,38.333333333333336,0.0,16594
165942,WT,7m,21813001.abf,1800,67.94444444444444,32.05555555555556,0.0,16594
165942,WT,7m,21813002.abf,1800,64.38888888888889,35.61111111111111,0.0,16594
165942,WT,7m,21813003.abf,1800,67.38888888888889,32.611111111111114,0.0,16594
165951,KO,7m,21810007.abf,1800,60.0,40.0,0.0,16595
165951,KO,7m,21810008.abf,1800,66.22222222222223,33.77777777777778,0.0,16595
165951,KO,7m,21810010.abf,1800,61.44444444444444,38.55555555555556,0.0,16595
165951,KO,7m,21810011.abf,1800,59.333333333333336,40.666666666666664,0.0,16595
165952,KO,7m,21810012.abf,1800,59.88888888888889,40.11111111111111,0.0,16595
165952,KO,7m,21810013.abf,1800,56.49999999999999,43.5,0.0,16595
165952,KO,7m,21811000.abf,1800,52.666666666666664,47.333333333333336,0.0,16595
165952,KO,7m,21811001.abf,1800,55.00000000000001,45.0,0.0,16595
165952,KO,7m,21811002.abf,1800,61.0,39.0,0.0,16595
165961,WT,7m,21809001.abf,1800,66.83333333333333,33.166666666666664,0.0,16596
165961,WT,7m,21809002.abf,1800,68.05555555555556,31.944444444444443,0.0,16596
