session_id,group,timepoint,abf_file,n_epochs,pct_wake,pct_nrem,pct_rem,animal_id
165711,KO,6m,21705001.abf,1800,56.44444444444444,43.55555555555555,0.0,16571
165711,KO,6m,21705002.abf,1722,57.43321718931475,42.56678281068525,0.0,16571
165711,KO,6m,21705003.abf,1764,59.013605442176875,40.98639455782313,0.0,16571
165711,KO,6m,21705004.abf,1800,61.27777777777778,38.72222222222222,0.0,16571
165712,KO,6m,21705005.abf,1800,56.49999999999999,43.5,0.0,16571
165712,KO,6m,21705006.abf,1800,60.83333333333333,39.166666666666664,0.0,16571
165712,KO,6m,21705007.abf,1800,55.222222222222214,44.77777777777778,0.0,16571
165712,KO,6m,21706000.abf,1797,59.09849749582637,40.90150250417362,0.0,16571
165721,WT,6m,21624001.abf,1800,58.72222222222222,41.27777777777778,0.0,16572
165721,WT,6m,21624002.abf,1800,62.44444444444445,37.55555555555555,0.0,16572
165721,WT,6m,21624003.abf,1800,69.66666666666667,30.333333333333336,0.0,16572
165721,WT,6m,21624004.abf,1800,70.66666666666667,29.333333333333332,0.0,16572
165722,WT,6m,21624005.abf,1800,69.66666666666667,30.333333333333336,0.0,16572
165722,WT,6m,21625000.abf,1800,69.16666666666667,30.833333333333336,0.0,16572
165722,WT,6m,21625001.abf,1800,66.66666666666666,33.33333333333333,0.0,16572
165722,WT,6m,21625002.abf,1800,70.94444444444444,29.055555555555557,0.0,16572
165722,WT,6m,21625003.abf,1800,67.11111111111111,32.88888888888889,0.0,16572
165931,KO,6m,21628002.abf,1800,58.88888888888889,41.11111111111111,0.0,16593
165931,KO,6m,21628003.abf,1800,60.22222222222222,39.77777777777778,0.0,16593
165931,KO,6m,21628004.abf,1800,60.88888888888889,39.111111111111114,0.0,16593
165931,KO,6m,21629000.abf,1800,67.16666666666666,32.83333333333333,0.0,16593
165931,KO,6m,21629001.abf,1800,59.38888888888889,40.61111111111111,0.0,16593
165931,KO,6m,21629002.abf,1800,58.111111111111114,41.888888888888886,0.0,16593
165932,KO,6m,21629003.abf,1800,62.94444444444445,37.05555555555556,0.0,16593
165932,KO,6m,21629004.abf,1800,59.72222222222222,40.27777777777778,0.0,16593
165932,KO,6m,21629005.abf,1796,57.29398663697105,42.70601336302896,0.0,16593
165932,KO,6m,21629006.abf,1794,54.40356744704571,45.59643255295429,0.0,16593
165932,KO,6m,21629007.abf,1800,63.888888888888886,36.11111111111111,0.0,16593
165932,KO,6m,21629008.abf,1655,69.54682779456193,30.45317220543807,0.0,16593
165941,WT,6m,21628002.abf,1800,65.38888888888889,34.61111111111111,0.0,16594
165941,WT,6m,21628003.abf,1800,68.77777777777779,31.222222222222225,0.0,16594
165941,WT,6m,21628004.abf,1800,66.5,33.5,0.0,16594
165941,WT,6m,21628005.abf,1800,66.77777777777779,33.22222222222222,0.0,16594
165941,WT,6m,21629000.abf,1800,64.33333333333333,35.66666666666667,0.0,16594
165942,WT,6m,21629001.abf,1800,67.61111111111111,32.388888888888886,0.0,16594
165942,WT,6m,21629002.abf,1800,67.66666666666666,32.33333333333333,0.0,16594
165942,WT,6m,21629003.abf,1800,69.94444444444444,30.055555555555557,0.0,16594
165942,WT,6m,21629004.abf,1800,64.55555555555556,35.44444444444444,0.0,16594
165942,WT,6m,21629005.abf,1800,67.33333333333333,32.666666666666664,0.0,16594
165942,WT,6m,21629006.abf,1800,69.44444444444444,30.555555555555557,0.0,16594
165951,KO,6m,21625006.abf,1800,58.5,41.5,0.0,16595
165951,KO,6m,21625007.abf,1800,60.333333333333336,39.666666666666664,0.0,16595
165951,KO,6m,21625008.abf,1800,64.88888888888889,35.11111111111111,0.0,16595
165951,KO,6m,21625009.abf,1800,68.38888888888889,31.61111111111111,0.0,16595
165951,KO,6m,21625010.abf,1800,61.88888888888889,38.111111111111114,0.0,16595
165951,KO,6m,21625011.abf,1800,61.72222222222222,38.27777777777778,0.0,16595
165952,KO,6m,21625012.abf,1800,62.22222222222222,37.77777777777778,0.0,16595
165952,KO,6m,21626000.abf,1800,63.94444444444445,36.05555555555556,0.0,16595
165952,KO,6m,21626001.abf,1800,62.16666666666667,37.833333333333336,0.0,16595
165952,KO,6m,21626002.abf,1800,63.44444444444445,36.55555555555556,0.0,16595
165952,KO,6m,21626003.abf,1800,66.05555555555556,33.94444444444444,0.0,16595
165952,KO,6m,21626004.abf,1800,64.94444444444444,35.05555555555556,0.0,16595
165961,WT,6m,21625001.abf,1768,56.22171945701358,43.77828054298642,0.0,16596
165961,WT,6m,21625002.abf,1797,63.10517529215359,36.89482470784641,0.0,16596
165961,WT,6m,21625003.abf,1800,67.11111111111111,32.88888888888889,0.0,16596
165961,WT,6m,21625004.abf,1800,65.61111111111111,34.38888888888889,0.0,16596
165961,WT,6m,21625005.abf,1771,55.166572557876904,44.83342744212309,0.0,16596
165961,WT,6m,21625006.abf,1800,55.611111111111114,44.388888888888886,0.0,16596
165961,WT,6m,21625007.abf,1800,57.44444444444444,42.55555555555556,0.0,16596
165962,WT,6m,21626000.abf,1800,55.222222222222214,44.77777777777778,0.0,16596
165962,WT,6m,21626001.abf,1800,59.833333333333336,40.166666666666664,0.0,16596
165962,WT,6m,21626002.abf,1800,59.22222222222222,40.77777777777778,0.0,16596
165962,WT,6m,21626003.abf,1800,58.611111111111114,41.388888888888886,0.0,16596
165962,WT,6m,21626004.abf,1800,62.33333333333333,37.666666666666664,0.0,16596
165962,WT,6m,21626005.abf,1800,59.111111111111114,40.88888888888889,0.0,16596
165962,WT,6m,21626006.abf,1800,58.38888888888889,41.61111111111111,0.0,16596
165962,WT,6m,21626007.abf,1800,62.16666666666667,37.833333333333336,0.0,16596
165971,KO,6m,21703010.abf,1800,57.49999999999999,42.5,0.0,16597
165972,KO,6m,21703011.abf,1800,54.333333333333336,45.666666666666664,0.0,16597
165972,KO,6m,21703012.abf,1800,56.666666666666664,43.0,0.33333333333333337,16597
165981,KO,6m,21626012.abf,1800,60.66666666666667,39.33333333333333,0.0,16598
165981,KO,6m,21626013.abf,1800,59.05555555555555,40.94444444444444,0.0,16598
165981,KO,6m,21626014.abf,1800,56.777777777777786,43.22222222222222,0.0,16598
165981,KO,6m,21626015.abf,1800,54.27777777777778,45.72222222222222,0.0,16598
165981,KO,6m,21627000.abf,1800,55.722222222222214,44.27777777777778,0.0,16598
165981,KO,6m,21627001.abf,1800,58.44444444444444,41.55555555555556,0.0,16598
165982,KO,6m,21627002.abf,1800,60.5,39.5,0.0,16598
165982,KO,6m,21627003.abf,1800,64.16666666666667,35.833333333333336,0.0,16598
165982,KO,6m,21627004.abf,1800,59.44444444444444,40.55555555555556,0.0,16598
165982,KO,6m,21627005.abf,1800,60.5,39.5,0.0,16598
165982,KO,6m,21627006.abf,1799,56.92051139521956,43.07948860478044,0.0,16598
165982,KO,6m,21627007.abf,1800,60.22222222222222,39.77777777777778,0.0,16598
166001,KO,6m,21626010.abf,1800,60.22222222222222,39.77777777777778,0.0,16600
166001,KO,6m,21626011.abf,1800,59.166666666666664,40.833333333333336,0.0,16600
166001,KO,6m,21626012.abf,1800,60.44444444444444,39.55555555555556,0.0,16600
166001,KO,6m,21626013.abf,1800,62.05555555555555,37.94444444444444,0.0,16600
166001,KO,6m,21627000.abf,1800,62.77777777777778,37.22222222222222,0.0,16600
166001,KO,6m,21627001.abf,1800,57.44444444444444,42.55555555555556,0.0,16600
166002,KO,6m,21627002.abf,1800,56.833333333333336,43.166666666666664,0.0,16600
166002,KO,6m,21627003.abf,1800,59.5,40.5,0.0,16600
166002,KO,6m,21627004.abf,1800,57.333333333333336,42.66666666666667,0.0,16600
166002,KO,6m,21627005.abf,1800,58.22222222222222,41.77777777777778,0.0,16600
166002,KO,6m,21627006.abf,1800,58.111111111111114,41.888888888888886,0.0,16600
166002,KO,6m,21627007.abf,1800,63.66666666666667,36.333333333333336,0.0,16600
166381,KO,6m,21629010.abf,1800,62.11111111111111,37.888888888888886,0.0,16638
166381,KO,6m,21629011.abf,1800,68.0,32.0,0.0,16638
166381,KO,6m,21629012.abf,1800,64.33333333333333,35.66666666666667,0.0,16638
166381,KO,6m,21630000.abf,1800,61.05555555555555,38.94444444444444,0.0,16638
166382,KO,6m,21630001.abf,1584,76.07323232323232,23.42171717171717,0.5050505050505051,16638
166382,KO,6m,21630002.abf,1800,80.55555555555556,19.444444444444446,0.0,16638
166382,KO,6m,21630003.abf,1687,80.08298755186722,19.91701244813278,0.0,16638
166382,KO,6m,21630004.abf,1514,74.50462351387054,25.495376486129455,0.0,16638
166401,WT,6m,21629011.abf,1799,54.808226792662595,45.19177320733741,0.0,16640
166401,WT,6m,21629012.abf,1800,55.27777777777778,44.72222222222222,0.0,16640
