scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
A,16572,16572,,WT,9m,21029009.abf,Video 10170.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21029009.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10170.wmv,0.134,0.406
A,16572,16572,,WT,9m,21029010.abf,Video 10171.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21029010.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10171.wmv,0.134,0.691
A,16572,16572,,WT,9m,21029011.abf,Video 10172.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21029011.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10172.wmv,0.134,1.096
A,16572,16572,,WT,9m,21029012.abf,Video 10173.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21029012.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10173.wmv,0.134,1.245
A,16572,16572,,WT,9m,21029013.abf,Video 10174.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21029013.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10174.wmv,0.134,1.239
A,16572,16572,,WT,9m,21030000.abf,Video 10175.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030000.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10175.wmv,0.134,1.403
A,16572,16572,,WT,9m,21030001.abf,Video 10176.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030001.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10176.wmv,0.134,1.113
A,16572,16572,,WT,9m,21030002.abf,Video 10177.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030002.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10177.wmv,0.134,1.349
A,16572,16572,,WT,9m,21030003.abf,Video 10178.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030003.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10178.wmv,0.134,1.313
A,16572,16572,,WT,9m,21030004.abf,Video 10179.wmv,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\21030004.abf,F:\EEG\EEG 10mon\WT\16572_29Oct21_Followup-10M\Video 10179.wmv,0.134,1.22
