animal_id,session_id,group,timepoint,wake_bp_delta,wake_bp_theta,wake_bp_alpha,wake_bp_beta,wake_bp_gamma,wake_n_epochs,nrem_bp_delta,nrem_bp_theta,nrem_bp_alpha,nrem_bp_beta,nrem_bp_gamma,nrem_n_epochs,rem_bp_delta,rem_bp_theta,rem_bp_alpha,rem_bp_beta,rem_bp_gamma,rem_n_epochs,all_bp_delta,all_bp_theta,all_bp_alpha,all_bp_beta,all_bp_gamma,all_n_epochs
16572,165721,WT,3m,0.2649810727827593,0.18594120041856196,0.15028022164470525,0.17161984539463096,0.11292785500185591,1219,0.3198649691496939,0.15203383413763086,0.1450511281578224,0.150057822885642,0.12141179031729957,368,0.10530489259432872,0.32595234433377124,0.1891191246099125,0.18438849136385146,0.1032858962783118,213.0,0.2573067658288128,0.19557701311998246,0.15380709938271425,0.1687225661213732,0.113521383328505,1800
16572,165721,WT,3m,0.1781129726296834,0.20405437280536776,0.19022955873611452,0.20898202756279716,0.11789898721458211,1285,0.22904826147946922,0.1942980208001103,0.18806039636082386,0.1942776903438935,0.10791687779978311,363,0.07632338278982084,0.323037959286593,0.20739591688175238,0.20632849576423146,0.10847062617006123,152.0,0.17978935718346847,0.2121343446760554,0.1912417145671737,0.20579257687177271,0.11508975577217143,1800
16572,165721,WT,3m,0.26007781999965623,0.1664986230521506,0.13868714889955272,0.17169260173344894,0.12297998281533695,1216,0.2782024336461826,0.13562685135507305,0.1548678830081046,0.16405734995430465,0.1403982842252443,361,0.10230903441923121,0.29631711847575504,0.1887108249963759,0.18992373432350657,0.11219953467851225,223.0,0.24416701241185687,0.17639018688371658,0.14812966266776315,0.17241994433084437,0.1251377421900395,1800
16572,165721,WT,3m,0.20781713699031568,0.1978176280105522,0.16966870708448734,0.18901127935255949,0.1239950304395637,1253,0.269816604955841,0.16623964967319568,0.16424065213835068,0.17249798067346353,0.12143096484608576,396,0.09245342063458827,0.3095478196279216,0.20645008846288013,0.191606435435601,0.10617198379609086,151.0,0.21177928595955633,0.20024339440645753,0.1715600842119691,0.18559605840345797,0.12193578042946279,1800
16572,165721,WT,3m,0.1795594823235418,0.2203839654971227,0.18853588904136728,0.1974800534194208,0.11813058241581398,1245,0.2483517129198281,0.19890123716876512,0.17706435377878849,0.17914238959791995,0.10438481861258207,406,0.07363362370578228,0.3537913397032052,0.20438441357268594,0.1927766249701887,0.1085395668907163,149.0,0.18630764492801183,0.22658158275011886,0.18726032617390034,0.192954552113607,0.1142362260728408,1800
16572,165721,WT,3m,0.1896959300366315,0.21329873570299362,0.17487424656448378,0.1954328258365481,0.12101338053149154,1265,0.2339213126530257,0.18935199001501876,0.16906105048298437,0.1857120498283483,0.11790574013161519,388,0.07587097860881789,0.34279546733889266,0.20564478517918233,0.1959954495268562,0.1079403865914913,147.0,0.18993325258956056,0.21871244804940634,0.1761341071737832,0.19338340616504465,0.11927588354019596,1800
16572,165722,WT,3m,0.18745618572594552,0.2218366989658995,0.18399100688683265,0.19724588278611782,0.11884068513869561,1251,0.24135785962492495,0.20686500330620394,0.17495253607081798,0.18248609372773447,0.10641092241786784,383,0.06989582910490695,0.3515732299372331,0.20394044957722685,0.19352995723459465,0.11222415228151393,166.0,0.1880835867838437,0.23061564602344284,0.1839076030890948,0.19376263675783245,0.11558571648515717,1800
16572,165722,WT,3m,0.14615352618613772,0.223555601940686,0.20411436779096329,0.21801499153767112,0.12281044071769344,1195,0.2039035124537065,0.21975451470084284,0.1918216922062053,0.20202394811576777,0.10245697202391345,423,0.05301082894153023,0.3547481470822139,0.21353447691501912,0.20833333009650964,0.11495621460597755,182.0,0.15030701134872831,0.23592737044807735,0.20217806672886635,0.21327817278780642,0.11723322604558165,1800
16572,165722,WT,3m,0.16840824083539158,0.21149531959869983,0.18964824310211084,0.21744379856551488,0.12617314609478997,1239,0.19665236752140813,0.21516143339902383,0.19154569953916611,0.20730354444620225,0.10701207198112173,411,0.056100245062982786,0.3367962929618637,0.2133319488783318,0.21115145984954106,0.1196032092843752,150.0,0.1654983167809979,0.22277416336337078,0.19205513780325686,0.2146040789819407,0.12125053943796783,1800
16572,165722,WT,3m,0.13222634788321144,0.24121521047312358,0.21956948906025486,0.2213665964266962,0.11319778087301845,1150,0.21976727857231218,0.23655045754754578,0.19440164913517827,0.19543814582784047,0.08932010130352862,497,0.05792526835928348,0.38117057336192894,0.20331605980419518,0.19921915981515925,0.10675315505247678,153.0,0.1500817797639459,0.25182342620533194,0.2112388273275103,0.21232493101047595,0.10605709504158549,1800
