feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
wake_bp_delta,12m,B,session_id,0.701671,0.838773,0.326594,0.283468,-0.5991,0.878477,8,8,0.941225,ns
wake_bp_theta,12m,B,session_id,0.213477,0.260561,0.071723,0.061674,-0.7487,0.798446,8,8,0.941225,ns
wake_bp_alpha,12m,B,session_id,0.12321,0.157638,0.031539,0.029357,-0.8085,0.720901,8,8,0.941225,ns
wake_bp_beta,12m,B,session_id,0.174007,0.252769,0.032837,0.035595,-0.7821,0.645377,8,8,0.941225,ns
wake_bp_gamma,12m,B,session_id,0.124268,0.16138,0.047212,0.079692,-0.6055,0.573737,8,8,0.941225,ns
wake_rbp_delta,12m,B,session_id,0.382807,0.078091,0.414123,0.069123,0.4247,0.573737,8,8,0.941225,ns
wake_rbp_theta,12m,B,session_id,0.230477,0.052593,0.253253,0.057263,0.4143,0.645377,8,8,0.941225,ns
wake_rbp_alpha,12m,B,session_id,0.140392,0.048062,0.124511,0.025511,-0.4128,0.720901,8,8,0.941225,ns
wake_rbp_beta,12m,B,session_id,0.13837,0.024366,0.116618,0.013508,-1.1042,0.020668,8,8,0.351588,*
wake_rbp_gamma,12m,B,session_id,0.107953,0.056282,0.091496,0.02634,-0.3745,0.798446,8,8,0.941225,ns
wake_td_ratio,12m,B,session_id,0.845143,0.332459,0.788957,0.261293,-0.1879,0.878477,8,8,0.941225,ns
wake_theta_alpha,12m,B,session_id,2.125519,0.347021,2.527894,0.244645,1.3402,0.028127,8,8,0.351588,*
wake_theta_beta,12m,B,session_id,2.436586,0.488994,2.711022,0.25101,0.7061,0.160528,8,8,0.752475,ns
wake_slow_fast,12m,B,session_id,163.554312,296.452299,47.136003,111.437008,-0.5199,0.878477,8,8,0.941225,ns
wake_high_freq_idx,12m,B,session_id,0.246323,0.053243,0.208113,0.013951,-0.9818,0.234499,8,8,0.879371,ns
wake_spectral_entropy,12m,B,session_id,0.809992,0.090721,0.807408,0.061849,-0.0333,0.798446,8,8,0.941225,ns
wake_ap_exp,12m,B,session_id,1.644504,0.181691,1.665706,0.07803,0.1516,0.878477,8,8,0.941225,ns
wake_total_var,12m,B,session_id,1.774231,2.182753,0.818708,0.971677,-0.5656,0.878477,8,8,0.941225,ns
wake_rms,12m,B,session_id,0.742061,0.815242,0.503959,0.675617,-0.318,0.798446,8,8,0.941225,ns
wake_p2p,12m,B,session_id,3.66292,3.158259,2.492335,1.894681,-0.4495,0.645377,8,8,0.941225,ns
wake_zcr,12m,B,session_id,0.107603,0.03677,0.107169,0.047168,-0.0103,0.878477,8,8,0.941225,ns
wake_coeff_var,12m,B,session_id,78.273948,72.053029,212.892632,314.85733,0.5894,0.382284,8,8,0.941225,ns
wake_hjorth_mob,12m,B,session_id,0.34891,0.115251,0.342823,0.141638,-0.0471,0.798446,8,8,0.941225,ns
wake_hjorth_comp,12m,B,session_id,4.271109,0.591623,4.42681,0.488858,0.2869,1.0,8,8,1.0,ns
wake_lzc,12m,B,session_id,0.049969,0.000531,0.050152,0.000257,0.4403,0.645377,8,8,0.941225,ns
nrem_bp_delta,12m,B,session_id,0.088643,0.143564,0.004936,0.007965,-0.8233,0.160528,8,8,0.752475,ns
nrem_bp_theta,12m,B,session_id,0.057403,0.083103,0.005719,0.007568,-0.8759,0.160528,8,8,0.752475,ns
nrem_bp_alpha,12m,B,session_id,0.029971,0.046137,0.003015,0.004587,-0.8222,0.064957,8,8,0.541308,ns
nrem_bp_beta,12m,B,session_id,0.055824,0.112987,0.002947,0.005445,-0.6611,0.064957,8,8,0.541308,ns
nrem_bp_gamma,12m,B,session_id,0.024432,0.035923,0.004136,0.010366,-0.7677,0.130381,8,8,0.752198,ns
nrem_rbp_delta,12m,B,session_id,0.232567,0.064291,0.263331,0.030064,0.613,0.382284,8,8,0.941225,ns
nrem_rbp_theta,12m,B,session_id,0.327373,0.044854,0.3631,0.046963,0.778,0.328205,8,8,0.941225,ns
nrem_rbp_alpha,12m,B,session_id,0.176772,0.048769,0.147932,0.021018,-0.768,0.328205,8,8,0.941225,ns
nrem_rbp_beta,12m,B,session_id,0.1596,0.022669,0.134897,0.011019,-1.386,0.028127,8,8,0.351588,*
nrem_rbp_gamma,12m,B,session_id,0.103688,0.057644,0.090741,0.028605,-0.2845,0.95913,8,8,0.985408,ns
