feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
wake_bp_delta,9m,B,session_id,0.125064,0.142967,0.194075,0.15632,0.4607,0.541423,9,8,0.966768,ns
wake_bp_theta,9m,B,session_id,0.026646,0.029209,0.039432,0.029636,0.4345,0.370383,9,8,0.966768,ns
wake_bp_alpha,9m,B,session_id,0.014461,0.01591,0.019793,0.016008,0.3341,0.605841,9,8,0.966768,ns
wake_bp_beta,9m,B,session_id,0.015534,0.017348,0.022037,0.015826,0.3916,0.480708,9,8,0.966768,ns
wake_bp_gamma,9m,B,session_id,0.009316,0.009992,0.040307,0.062775,0.6895,0.23587,9,8,0.966768,ns
wake_rbp_delta,9m,B,session_id,0.431526,0.104196,0.422655,0.066622,-0.1014,0.541423,9,8,0.966768,ns
wake_rbp_theta,9m,B,session_id,0.23832,0.018019,0.246666,0.028254,0.3522,0.605841,9,8,0.966768,ns
wake_rbp_alpha,9m,B,session_id,0.135764,0.029871,0.133921,0.018323,-0.0744,0.888359,9,8,1.0,ns
wake_rbp_beta,9m,B,session_id,0.126852,0.036999,0.125199,0.034707,-0.0461,0.962567,9,8,1.0,ns
wake_rbp_gamma,9m,B,session_id,0.067538,0.032315,0.071559,0.050691,0.0946,0.888359,9,8,1.0,ns
wake_td_ratio,9m,B,session_id,0.726238,0.289094,0.709461,0.152503,-0.0726,0.742986,9,8,0.970011,ns
wake_theta_alpha,9m,B,session_id,2.171653,0.36974,2.268433,0.31425,0.2821,0.370383,9,8,0.966768,ns
wake_theta_beta,9m,B,session_id,2.542398,0.737698,2.584668,0.768803,0.0561,0.814809,9,8,0.970011,ns
wake_slow_fast,9m,B,session_id,1131.728826,3373.189088,885.550868,2463.019155,-0.0834,0.814809,9,8,0.970011,ns
wake_high_freq_idx,9m,B,session_id,0.19439,0.065388,0.196758,0.058026,0.0383,1.0,9,8,1.0,ns
wake_spectral_entropy,9m,B,session_id,0.819337,0.080771,0.79937,0.073806,-0.2581,0.605841,9,8,0.966768,ns
wake_ap_exp,9m,B,session_id,1.755245,0.365789,1.772832,0.245699,0.0564,0.672974,9,8,0.970011,ns
wake_total_var,9m,B,session_id,0.258141,0.280474,0.613727,0.711649,0.6574,0.480708,9,8,0.966768,ns
wake_rms,9m,B,session_id,0.169233,0.077999,0.310954,0.314915,0.6178,0.814809,9,8,0.970011,ns
wake_p2p,9m,B,session_id,1.168939,0.444796,1.715593,1.310171,0.5587,0.814809,9,8,0.970011,ns
wake_zcr,9m,B,session_id,0.091011,0.021644,0.081859,0.031804,-0.3364,0.321267,9,8,0.966768,ns
wake_coeff_var,9m,B,session_id,110.51798,118.156275,32.451632,45.380998,-0.8723,0.370383,9,8,0.966768,ns
wake_hjorth_mob,9m,B,session_id,0.291062,0.067536,0.264025,0.101226,-0.3142,0.370383,9,8,0.966768,ns
wake_hjorth_comp,9m,B,session_id,4.827538,1.370974,4.889859,0.9386,0.053,0.742986,9,8,0.970011,ns
wake_lzc,9m,B,session_id,0.050259,0.000652,0.050381,0.000522,0.2067,0.672974,9,8,0.970011,ns
nrem_bp_delta,9m,B,session_id,0.001593,0.001847,0.003245,0.004996,0.4385,0.605841,9,8,0.966768,ns
nrem_bp_theta,9m,B,session_id,0.002194,0.002586,0.004302,0.006417,0.4309,0.605841,9,8,0.966768,ns
nrem_bp_alpha,9m,B,session_id,0.00108,0.001276,0.001928,0.002898,0.3788,1.0,9,8,1.0,ns
nrem_bp_beta,9m,B,session_id,0.000962,0.001079,0.001319,0.001768,0.244,0.814809,9,8,0.970011,ns
nrem_bp_gamma,9m,B,session_id,0.000491,0.000555,0.000584,0.0008,0.1348,1.0,9,8,1.0,ns
nrem_rbp_delta,9m,B,session_id,0.290052,0.0756,0.27133,0.045273,-0.3005,0.370383,9,8,0.966768,ns
nrem_rbp_theta,9m,B,session_id,0.334736,0.021373,0.377096,0.027714,1.7117,0.003702,9,8,0.27765,**
nrem_rbp_alpha,9m,B,session_id,0.159003,0.026616,0.158392,0.009299,-0.0307,0.742986,9,8,0.970011,ns
nrem_rbp_beta,9m,B,session_id,0.143673,0.033825,0.138861,0.034593,-0.1407,0.480708,9,8,0.966768,ns
nrem_rbp_gamma,9m,B,session_id,0.072536,0.038204,0.054321,0.026688,-0.5528,0.276594,9,8,0.966768,ns
nrem_td_ratio,9m,B,session_id,1.371797,0.454827,1.592606,0.304206,0.5707,0.167174,9,8,0.966768,ns
nrem_theta_alpha,9m,B,session_id,2.485512,0.342911,2.775018,0.279858,0.925,0.035952,9,8,0.8988,*
nrem_theta_beta,9m,B,session_id,2.752201,0.830934,3.165844,0.837167,0.4959,0.276594,9,8,0.966768,ns
nrem_slow_fast,9m,B,session_id,3.736326,1.835905,3.992544,1.290741,0.1615,0.605841,9,8,0.966768,ns
