feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
all_rbp_beta,6m,A,animal_id,0.10967,0.038927,0.115987,0.040181,0.1597,0.573737,8,8,0.985408,ns
all_rbp_gamma,6m,A,animal_id,0.078624,0.041592,0.095475,0.034571,0.4406,0.441803,8,8,0.985408,ns
all_td_ratio,6m,A,animal_id,0.792643,0.256585,0.802296,0.307551,0.0341,0.878477,8,8,0.985408,ns
all_theta_alpha,6m,A,animal_id,2.209806,0.212502,2.344751,0.305888,0.5124,0.278632,8,8,0.985408,ns
all_theta_beta,6m,A,animal_id,2.842206,0.951974,2.613554,0.821376,-0.2572,0.798446,8,8,0.985408,ns
all_slow_fast,6m,A,animal_id,16.284056,8.964772,68.489272,144.848305,0.5087,0.95913,8,8,0.985408,ns
all_high_freq_idx,6m,A,animal_id,0.188294,0.069488,0.211462,0.059902,0.3571,0.645377,8,8,0.985408,ns
all_spectral_entropy,6m,A,animal_id,0.796619,0.095172,0.808402,0.072191,0.1395,1.0,8,8,1.0,ns
all_ap_exp,6m,A,animal_id,1.713294,0.298169,1.619043,0.244275,-0.3458,0.645377,8,8,0.985408,ns
all_total_var,6m,A,animal_id,1.205485,1.537411,1.635057,2.02523,0.2389,0.441803,8,8,0.985408,ns
all_rms,6m,A,animal_id,0.592346,0.739808,0.676026,0.627485,0.122,0.441803,8,8,0.985408,ns
all_p2p,6m,A,animal_id,1.87188,1.539677,2.603375,2.187073,0.3868,0.382284,8,8,0.985408,ns
all_zcr,6m,A,animal_id,0.084505,0.025536,0.083878,0.021829,-0.0264,0.798446,8,8,0.985408,ns
all_coeff_var,6m,A,animal_id,10.165341,8.518537,8.261532,7.46554,-0.2377,0.798446,8,8,0.985408,ns
all_hjorth_mob,6m,A,animal_id,0.286626,0.080509,0.284269,0.0788,-0.0296,0.720901,8,8,0.985408,ns
all_hjorth_comp,6m,A,animal_id,5.565785,1.820143,5.489818,1.688688,-0.0433,0.95913,8,8,0.985408,ns
all_lzc,6m,A,animal_id,0.050554,0.000804,0.050414,0.000562,-0.2026,0.720901,8,8,0.985408,ns
