feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
wake_bp_delta,3m,B,session_id,0.448987,0.339764,0.611987,0.456546,0.4051,0.149993,18,18,0.432672,ns
wake_bp_theta,3m,B,session_id,0.108257,0.092306,0.156757,0.126496,0.438,0.141238,18,18,0.423714,ns
wake_bp_alpha,3m,B,session_id,0.053438,0.047917,0.083242,0.086352,0.4268,0.178741,18,18,0.446852,ns
wake_bp_beta,3m,B,session_id,0.062085,0.058999,0.099996,0.126815,0.3833,0.289193,18,18,0.615872,ns
wake_bp_gamma,3m,B,session_id,0.039571,0.043581,0.053359,0.058428,0.2675,0.275039,18,18,0.606704,ns
wake_rbp_delta,3m,B,session_id,0.489961,0.132636,0.498135,0.080546,0.0745,0.987379,18,18,0.987379,ns
wake_rbp_theta,3m,B,session_id,0.193942,0.032522,0.212984,0.041391,0.5116,0.132882,18,18,0.423714,ns
wake_rbp_alpha,3m,B,session_id,0.122446,0.030522,0.119518,0.026434,-0.1026,0.962148,18,18,0.987379,ns
wake_rbp_beta,3m,B,session_id,0.123913,0.052687,0.109694,0.046985,-0.2848,0.646407,18,18,0.987379,ns
wake_rbp_gamma,3m,B,session_id,0.069737,0.044549,0.059669,0.017406,-0.2977,0.886785,18,18,0.987379,ns
wake_td_ratio,3m,B,session_id,0.617414,0.285081,0.588428,0.161605,-0.1251,0.911826,18,18,0.987379,ns
wake_theta_alpha,3m,B,session_id,2.070463,0.318752,2.323869,0.380424,0.7221,0.090519,18,18,0.399349,ns
wake_theta_beta,3m,B,session_id,2.797658,1.278632,3.206533,1.198779,0.3299,0.275039,18,18,0.606704,ns
wake_slow_fast,3m,B,session_id,144.972775,545.314226,210.340095,554.149663,0.1189,0.787985,18,18,0.987379,ns
wake_high_freq_idx,3m,B,session_id,0.19365,0.092762,0.169363,0.052424,-0.3224,0.886785,18,18,0.987379,ns
wake_spectral_entropy,3m,B,session_id,0.746076,0.123698,0.748787,0.081424,0.0259,0.936956,18,18,0.987379,ns
wake_ap_exp,3m,B,session_id,1.744495,0.443032,1.750313,0.228931,0.0165,0.646407,18,18,0.987379,ns
wake_total_var,3m,B,session_id,0.960791,0.795783,1.33454,1.053036,0.4005,0.124914,18,18,0.423714,ns
wake_rms,3m,B,session_id,0.390884,0.265995,0.575606,0.340072,0.6051,0.020049,18,18,0.208744,*
wake_p2p,3m,B,session_id,2.5626,1.738799,3.388901,1.574545,0.4982,0.025713,18,18,0.208744,*
wake_zcr,3m,B,session_id,0.082882,0.031475,0.071097,0.013484,-0.4867,0.30383,18,18,0.615872,ns
wake_coeff_var,3m,B,session_id,18.422356,22.703003,20.510402,30.000598,0.0785,0.812432,18,18,0.987379,ns
wake_hjorth_mob,3m,B,session_id,0.283486,0.10308,0.244472,0.043067,-0.4939,0.2114,18,18,0.495469,ns
wake_hjorth_comp,3m,B,session_id,5.478659,1.760107,5.746082,1.666164,0.156,0.787985,18,18,0.987379,ns
wake_lzc,3m,B,session_id,0.050455,0.001012,0.05063,0.000532,0.2168,0.692487,18,18,0.987379,ns
nrem_bp_delta,3m,B,session_id,0.002685,0.004189,0.015488,0.035231,0.5103,0.044532,18,18,0.208744,*
nrem_bp_theta,3m,B,session_id,0.002592,0.003716,0.012902,0.021042,0.6824,0.025713,18,18,0.208744,*
nrem_bp_alpha,3m,B,session_id,0.001317,0.001854,0.011521,0.030847,0.4669,0.035381,18,18,0.208744,*
nrem_bp_beta,3m,B,session_id,0.001109,0.001536,0.011813,0.033581,0.4503,0.038235,18,18,0.208744,*
nrem_bp_gamma,3m,B,session_id,0.000545,0.000853,0.005181,0.011083,0.5898,0.020049,18,18,0.208744,*
nrem_rbp_delta,3m,B,session_id,0.309614,0.104983,0.293546,0.068668,-0.1811,0.419791,18,18,0.749627,ns
nrem_rbp_theta,3m,B,session_id,0.299277,0.031776,0.330297,0.05459,0.6945,0.016907,18,18,0.208744,*
nrem_rbp_alpha,3m,B,session_id,0.168701,0.025805,0.165028,0.026465,-0.1405,0.692487,18,18,0.987379,ns
nrem_rbp_beta,3m,B,session_id,0.150124,0.052757,0.141829,0.063013,-0.1427,0.496359,18,18,0.865742,ns
nrem_rbp_gamma,3m,B,session_id,0.072284,0.044898,0.069299,0.027608,-0.0801,0.763745,18,18,0.987379,ns
nrem_td_ratio,3m,B,session_id,1.339761,0.768117,1.35413,0.406945,0.0234,0.350645,18,18,0.674317,ns
nrem_theta_alpha,3m,B,session_id,2.140638,0.287845,2.424887,0.413273,0.7982,0.006205,18,18,0.208744,**
nrem_theta_beta,3m,B,session_id,2.686817,1.035481,3.130389,1.102953,0.4147,0.2114,18,18,0.495469,ns
nrem_slow_fast,3m,B,session_id,4.455549,3.188094,3.954153,1.36475,-0.2045,0.936956,18,18,0.987379,ns
nrem_high_freq_idx,3m,B,session_id,0.222408,0.093093,0.211128,0.072399,-0.1353,0.669291,18,18,0.987379,ns
nrem_spectral_entropy,3m,B,session_id,0.870049,0.067395,0.86922,0.050915,-0.0139,0.911826,18,18,0.987379,ns
nrem_ap_exp,3m,B,session_id,1.673049,0.445098,1.656049,0.289677,-0.0453,0.886785,18,18,0.987379,ns
