feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
nrem_total_var,3m,B,session_id,0.009397,0.015053,0.06421,0.149246,0.5168,0.032712,18,18,0.208744,*
nrem_rms,3m,B,session_id,0.093751,0.05995,0.200357,0.175928,0.8112,0.027886,18,18,0.208744,*
nrem_p2p,3m,B,session_id,0.489471,0.338802,0.977964,0.744691,0.8444,0.020049,18,18,0.208744,*
nrem_zcr,3m,B,session_id,0.095162,0.029548,0.082697,0.014475,-0.5358,0.124914,18,18,0.423714,ns
nrem_coeff_var,3m,B,session_id,10.144662,16.262537,10.489589,20.547897,0.0186,0.962148,18,18,0.987379,ns
nrem_hjorth_mob,3m,B,session_id,0.304649,0.095341,0.268865,0.044592,-0.4808,0.132882,18,18,0.423714,ns
nrem_hjorth_comp,3m,B,session_id,4.370885,1.33227,4.206336,0.550687,-0.1614,0.861856,18,18,0.987379,ns
nrem_lzc,3m,B,session_id,0.050072,0.000906,0.050238,0.000437,0.2335,0.692487,18,18,0.987379,ns
all_bp_delta,3m,B,session_id,0.276171,0.195913,0.379793,0.296982,0.4119,0.159155,18,18,0.442097,ns
all_bp_theta,3m,B,session_id,0.067166,0.053846,0.10061,0.085765,0.4671,0.117323,18,18,0.423714,ns
all_bp_alpha,3m,B,session_id,0.033129,0.028026,0.055649,0.066273,0.4426,0.178741,18,18,0.446852,ns
all_bp_beta,3m,B,session_id,0.038242,0.034286,0.066391,0.094295,0.3968,0.401793,18,18,0.749627,ns
all_bp_gamma,3m,B,session_id,0.024157,0.025315,0.03536,0.043209,0.3164,0.30383,18,18,0.615872,ns
all_rbp_delta,3m,B,session_id,0.42192,0.119187,0.41744,0.074276,-0.0451,0.739734,18,18,0.987379,ns
all_rbp_theta,3m,B,session_id,0.233674,0.028952,0.259188,0.045278,0.6714,0.044532,18,18,0.208744,*
all_rbp_alpha,3m,B,session_id,0.139966,0.027036,0.137294,0.025337,-0.102,0.962148,18,18,0.987379,ns
all_rbp_beta,3m,B,session_id,0.133683,0.0523,0.122391,0.051722,-0.2171,0.579801,18,18,0.987379,ns
all_rbp_gamma,3m,B,session_id,0.070756,0.044275,0.063686,0.021086,-0.2039,0.962148,18,18,0.987379,ns
all_td_ratio,3m,B,session_id,0.882102,0.432733,0.888811,0.249918,0.019,0.419791,18,18,0.749627,ns
all_theta_alpha,3m,B,session_id,2.093211,0.29143,2.361619,0.364774,0.813,0.044532,18,18,0.208744,*
all_theta_beta,3m,B,session_id,2.74557,1.133663,3.165173,1.115537,0.3731,0.318951,18,18,0.629509,ns
all_slow_fast,3m,B,session_id,85.576207,312.892465,119.222643,305.922972,0.1087,0.787985,18,18,0.987379,ns
all_high_freq_idx,3m,B,session_id,0.20444,0.092155,0.186077,0.05851,-0.2379,0.962148,18,18,0.987379,ns
all_spectral_entropy,3m,B,session_id,0.793915,0.099153,0.796884,0.065152,0.0354,0.987379,18,18,0.987379,ns
all_ap_exp,3m,B,session_id,1.716715,0.439425,1.711793,0.249475,-0.0138,0.861856,18,18,0.987379,ns
all_total_var,3m,B,session_id,0.590748,0.462428,0.843734,0.722882,0.4169,0.124914,18,18,0.423714,ns
all_rms,3m,B,session_id,0.275368,0.174635,0.427554,0.277912,0.6557,0.020049,18,18,0.208744,*
all_p2p,3m,B,session_id,1.754134,1.082353,2.419844,1.193356,0.5844,0.023688,18,18,0.208744,*
all_zcr,3m,B,session_id,0.087645,0.030313,0.076024,0.013184,-0.4972,0.141238,18,18,0.423714,ns
all_coeff_var,3m,B,session_id,15.450443,20.468623,16.595002,25.03215,0.0501,0.837064,18,18,0.987379,ns
all_hjorth_mob,3m,B,session_id,0.291683,0.099243,0.255114,0.042063,-0.4798,0.178741,18,18,0.446852,ns
all_hjorth_comp,3m,B,session_id,5.054197,1.567728,5.131579,1.168615,0.056,0.739734,18,18,0.987379,ns
all_lzc,3m,B,session_id,0.050307,0.000964,0.050473,0.000475,0.2192,0.763745,18,18,0.987379,ns
