feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
all_rbp_alpha,12m,A,animal_id,0.15298,0.045869,0.133618,0.017888,-0.5562,0.685714,4,4,0.918367,ns
all_rbp_beta,12m,A,animal_id,0.145794,0.018121,0.123607,0.010996,-1.4803,0.2,4,4,0.535714,ns
all_rbp_gamma,12m,A,animal_id,0.106756,0.043492,0.090286,0.020599,-0.484,0.685714,4,4,0.918367,ns
all_td_ratio,12m,A,animal_id,1.178103,0.445401,1.06643,0.267799,-0.3039,1.0,4,4,1.0,ns
all_theta_alpha,12m,A,animal_id,2.185188,0.316813,2.679678,0.242195,1.7536,0.114286,4,4,0.535714,ns
all_theta_beta,12m,A,animal_id,2.502939,0.199307,2.832132,0.333416,1.1985,0.114286,4,4,0.535714,ns
all_slow_fast,12m,A,animal_id,105.816382,118.330679,30.92552,49.667862,-0.8253,0.885714,4,4,0.97689,ns
all_high_freq_idx,12m,A,animal_id,0.25255,0.039868,0.213893,0.016955,-1.2619,0.2,4,4,0.535714,ns
all_spectral_entropy,12m,A,animal_id,0.833332,0.049225,0.838137,0.038507,0.1087,0.885714,4,4,0.97689,ns
all_ap_exp,12m,A,animal_id,1.618279,0.179688,1.625805,0.106971,0.0509,1.0,4,4,1.0,ns
all_total_var,12m,A,animal_id,1.299274,0.846447,0.510815,0.579988,-1.0867,0.342857,4,4,0.756302,ns
all_rms,12m,A,animal_id,0.627816,0.366993,0.404139,0.497888,-0.5114,0.485714,4,4,0.847176,ns
all_p2p,12m,A,animal_id,2.928246,1.139844,1.840199,1.407184,-0.8497,0.485714,4,4,0.847176,ns
all_zcr,12m,A,animal_id,0.110458,0.035155,0.106419,0.029003,-0.1253,0.885714,4,4,0.97689,ns
all_coeff_var,12m,A,animal_id,71.367722,64.994582,166.892064,159.530937,0.7842,0.485714,4,4,0.847176,ns
all_hjorth_mob,12m,A,animal_id,0.353253,0.105214,0.33927,0.091478,-0.1418,0.885714,4,4,0.97689,ns
all_hjorth_comp,12m,A,animal_id,4.042648,0.639479,4.194261,0.257513,0.311,0.885714,4,4,0.97689,ns
all_lzc,12m,A,animal_id,0.04987,0.000464,0.050002,0.00033,0.3284,0.685714,4,4,0.918367,ns
