feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
wake_bp_delta,12m,A,animal_id,0.704989,0.431329,0.326594,0.265591,-1.0564,0.342857,4,4,0.756302,ns
wake_bp_theta,12m,A,animal_id,0.214573,0.13294,0.071723,0.063289,-1.3721,0.2,4,4,0.535714,ns
wake_bp_alpha,12m,A,animal_id,0.123808,0.082282,0.031539,0.028646,-1.4977,0.2,4,4,0.535714,ns
wake_bp_beta,12m,A,animal_id,0.174773,0.144582,0.032837,0.033274,-1.353,0.2,4,4,0.535714,ns
wake_bp_gamma,12m,A,animal_id,0.12516,0.080363,0.047212,0.077908,-0.9849,0.342857,4,4,0.756302,ns
wake_rbp_delta,12m,A,animal_id,0.383288,0.06222,0.414123,0.066994,0.4769,0.485714,4,4,0.847176,ns
wake_rbp_theta,12m,A,animal_id,0.23035,0.037875,0.253253,0.057176,0.4723,0.685714,4,4,0.918367,ns
wake_rbp_alpha,12m,A,animal_id,0.140233,0.044312,0.124511,0.023374,-0.4438,0.485714,4,4,0.847176,ns
wake_rbp_beta,12m,A,animal_id,0.138206,0.017724,0.116618,0.014403,-1.3368,0.114286,4,4,0.535714,ns
wake_rbp_gamma,12m,A,animal_id,0.107923,0.041702,0.091496,0.026952,-0.4679,0.685714,4,4,0.918367,ns
wake_td_ratio,12m,A,animal_id,0.843855,0.301486,0.788957,0.266506,-0.1929,0.685714,4,4,0.918367,ns
wake_theta_alpha,12m,A,animal_id,2.127881,0.276285,2.527894,0.192233,1.6807,0.057143,4,4,0.535714,ns
wake_theta_beta,12m,A,animal_id,2.441194,0.196403,2.711022,0.255986,1.1827,0.2,4,4,0.535714,ns
wake_slow_fast,12m,A,animal_id,163.572451,187.356875,47.136003,78.727539,-0.8103,0.685714,4,4,0.918367,ns
wake_high_freq_idx,12m,A,animal_id,0.246129,0.03727,0.208113,0.013168,-1.3601,0.2,4,4,0.535714,ns
wake_spectral_entropy,12m,A,animal_id,0.809632,0.059527,0.807408,0.061909,-0.0366,0.885714,4,4,0.97689,ns
wake_ap_exp,12m,A,animal_id,1.645166,0.17725,1.665706,0.084073,0.1481,1.0,4,4,1.0,ns
wake_total_var,12m,A,animal_id,1.783273,1.101444,0.818708,0.938668,-0.9426,0.342857,4,4,0.756302,ns
wake_rms,12m,A,animal_id,0.744918,0.412638,0.503959,0.589614,-0.4735,0.685714,4,4,0.918367,ns
wake_p2p,12m,A,animal_id,3.67717,1.431361,2.492335,1.895623,-0.7054,0.485714,4,4,0.847176,ns
wake_zcr,12m,A,animal_id,0.107677,0.031525,0.107169,0.036946,-0.0148,1.0,4,4,1.0,ns
wake_coeff_var,12m,A,animal_id,78.178943,72.12182,212.892632,222.301522,0.8152,0.485714,4,4,0.847176,ns
wake_hjorth_mob,12m,A,animal_id,0.34911,0.098286,0.342823,0.113627,-0.0592,0.885714,4,4,0.97689,ns
wake_hjorth_comp,12m,A,animal_id,4.272343,0.610389,4.42681,0.326938,0.3155,0.885714,4,4,0.97689,ns
wake_lzc,12m,A,animal_id,0.049971,0.000458,0.050152,0.000267,0.4831,0.685714,4,4,0.918367,ns
nrem_bp_delta,12m,A,animal_id,0.088855,0.083159,0.004936,0.007741,-1.421,0.114286,4,4,0.535714,ns
nrem_bp_theta,12m,A,animal_id,0.057625,0.044436,0.005719,0.007881,-1.6266,0.057143,4,4,0.535714,ns
nrem_bp_alpha,12m,A,animal_id,0.030034,0.026,0.003015,0.004648,-1.4467,0.057143,4,4,0.535714,ns
nrem_bp_beta,12m,A,animal_id,0.055888,0.073567,0.002947,0.004795,-1.0156,0.057143,4,4,0.535714,ns
nrem_bp_gamma,12m,A,animal_id,0.024522,0.019179,0.004136,0.007747,-1.3938,0.057143,4,4,0.535714,ns
nrem_rbp_delta,12m,A,animal_id,0.232737,0.061819,0.263331,0.02914,0.6331,0.685714,4,4,0.918367,ns
nrem_rbp_theta,12m,A,animal_id,0.327373,0.035575,0.3631,0.04612,0.8674,0.2,4,4,0.535714,ns
nrem_rbp_alpha,12m,A,animal_id,0.176751,0.050213,0.147932,0.018291,-0.7626,0.485714,4,4,0.847176,ns
nrem_rbp_beta,12m,A,animal_id,0.159508,0.020999,0.134897,0.010303,-1.4881,0.114286,4,4,0.535714,ns
nrem_rbp_gamma,12m,A,animal_id,0.103631,0.045766,0.090741,0.024408,-0.3515,0.885714,4,4,0.97689,ns
nrem_td_ratio,12m,A,animal_id,1.835788,0.778018,1.562483,0.360013,-0.4509,0.885714,4,4,0.97689,ns
nrem_theta_alpha,12m,A,animal_id,2.313042,0.387293,2.968478,0.423057,1.6161,0.114286,4,4,0.535714,ns
nrem_theta_beta,12m,A,animal_id,2.687894,0.196241,3.052263,0.502494,0.9552,0.2,4,4,0.535714,ns
nrem_slow_fast,12m,A,animal_id,3.066109,0.781136,3.398856,0.626527,0.4699,1.0,4,4,1.0,ns
nrem_high_freq_idx,12m,A,animal_id,0.26314,0.043159,0.225637,0.032876,-0.9776,0.2,4,4,0.535714,ns
nrem_spectral_entropy,12m,A,animal_id,0.874682,0.036172,0.886001,0.025602,0.3612,0.685714,4,4,0.918367,ns
nrem_ap_exp,12m,A,animal_id,1.576397,0.186268,1.55573,0.14617,-0.1234,1.0,4,4,1.0,ns
nrem_total_var,12m,A,animal_id,0.319416,0.285458,0.035263,0.061381,-1.3763,0.057143,4,4,0.535714,ns
nrem_rms,12m,A,animal_id,0.40716,0.297392,0.251916,0.379363,-0.4555,0.342857,4,4,0.756302,ns
nrem_p2p,12m,A,animal_id,1.603315,0.713693,0.813461,0.816149,-1.0303,0.114286,4,4,0.535714,ns
nrem_zcr,12m,A,animal_id,0.114684,0.04075,0.106506,0.022614,-0.2482,0.685714,4,4,0.918367,ns
nrem_coeff_var,12m,A,animal_id,57.461424,55.386438,84.55077,105.148246,0.3224,1.0,4,4,1.0,ns
nrem_hjorth_mob,12m,A,animal_id,0.358289,0.115682,0.336746,0.072453,-0.2232,0.685714,4,4,0.918367,ns
nrem_hjorth_comp,12m,A,animal_id,3.631555,0.682518,3.794205,0.425915,0.2859,0.885714,4,4,0.97689,ns
nrem_lzc,12m,A,animal_id,0.049705,0.000459,0.049748,0.000427,0.0976,0.885714,4,4,0.97689,ns
all_bp_delta,12m,A,animal_id,0.502688,0.324827,0.20381,0.163252,-1.1627,0.2,4,4,0.535714,ns
all_bp_theta,12m,A,animal_id,0.162759,0.105724,0.046344,0.040764,-1.453,0.2,4,4,0.535714,ns
all_bp_alpha,12m,A,animal_id,0.093697,0.065444,0.020648,0.01902,-1.5158,0.2,4,4,0.535714,ns
all_bp_beta,12m,A,animal_id,0.137216,0.124359,0.021353,0.021887,-1.2976,0.2,4,4,0.535714,ns
all_bp_gamma,12m,A,animal_id,0.091929,0.059872,0.029656,0.048779,-1.1404,0.2,4,4,0.535714,ns
all_rbp_delta,12m,A,animal_id,0.330701,0.060737,0.359135,0.048864,0.5158,0.342857,4,4,0.756302,ns
all_rbp_theta,12m,A,animal_id,0.263769,0.035716,0.293354,0.048402,0.6956,0.485714,4,4,0.847176,ns
