feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
wake_bp_delta,6m,B,session_id,0.787424,0.965832,0.916606,1.1924,0.1191,0.266214,16,16,0.788148,ns
wake_bp_theta,6m,B,session_id,0.099836,0.095786,0.212727,0.438504,0.3557,0.235148,16,16,0.788148,ns
wake_bp_alpha,6m,B,session_id,0.047424,0.043227,0.120267,0.275561,0.3693,0.180911,16,16,0.788148,ns
wake_bp_beta,6m,B,session_id,0.052406,0.046734,0.146817,0.353579,0.3744,0.193509,16,16,0.788148,ns
wake_bp_gamma,6m,B,session_id,0.0339,0.031829,0.114825,0.259739,0.4373,0.117796,16,16,0.788148,ns
wake_rbp_delta,6m,B,session_id,0.505384,0.113969,0.49305,0.113398,-0.1085,0.692302,16,16,0.837462,ns
wake_rbp_theta,6m,B,session_id,0.199347,0.045516,0.19662,0.057659,-0.0525,0.865325,16,16,0.940571,ns
wake_rbp_alpha,6m,B,session_id,0.116,0.030877,0.110449,0.038561,-0.1589,0.72031,16,16,0.857512,ns
wake_rbp_beta,6m,B,session_id,0.102465,0.038945,0.107448,0.038483,0.1287,0.439746,16,16,0.788148,ns
wake_rbp_gamma,6m,B,session_id,0.076804,0.038324,0.092434,0.040755,0.3951,0.396438,16,16,0.788148,ns
wake_td_ratio,6m,B,session_id,0.538649,0.184867,0.551905,0.229563,0.0636,0.924933,16,16,0.963472,ns
wake_theta_alpha,6m,B,session_id,2.094521,0.204837,2.215943,0.380958,0.397,0.46238,16,16,0.788148,ns
wake_theta_beta,6m,B,session_id,2.597689,0.798363,2.421443,0.698499,-0.235,0.5591,16,16,0.827448,ns
wake_slow_fast,6m,B,session_id,24.342494,19.466923,95.503412,278.571578,0.3604,0.534029,16,16,0.827448,ns
wake_high_freq_idx,6m,B,session_id,0.179269,0.064842,0.199882,0.060668,0.3283,0.317913,16,16,0.788148,ns
wake_spectral_entropy,6m,B,session_id,0.751049,0.11539,0.760521,0.108859,0.0844,0.58473,16,16,0.827448,ns
wake_ap_exp,6m,B,session_id,1.712813,0.26069,1.627109,0.213445,-0.3597,0.35581,16,16,0.788148,ns
wake_total_var,6m,B,session_id,1.898426,2.242549,2.282098,3.201032,0.1388,0.396438,16,16,0.788148,ns
wake_rms,6m,B,session_id,0.785253,0.889915,0.856233,0.880301,0.0802,0.375785,16,16,0.788148,ns
wake_p2p,6m,B,session_id,2.680567,2.125743,3.374732,2.797348,0.2794,0.235148,16,16,0.788148,ns
wake_zcr,6m,B,session_id,0.07865,0.025879,0.079059,0.030278,0.0145,0.509539,16,16,0.827448,ns
wake_coeff_var,6m,B,session_id,13.522253,18.227312,8.187339,7.716757,-0.3812,0.664708,16,16,0.830885,ns
wake_hjorth_mob,6m,B,session_id,0.275351,0.077315,0.274164,0.104813,-0.0129,0.534029,16,16,0.827448,ns
wake_hjorth_comp,6m,B,session_id,6.517412,2.680088,6.509547,2.717769,-0.0029,0.984965,16,16,0.998275,ns
wake_lzc,6m,B,session_id,0.050756,0.000828,0.050619,0.000618,-0.1867,0.777432,16,16,0.883445,ns
nrem_bp_delta,6m,B,session_id,0.053515,0.144092,0.125567,0.483575,0.2019,0.664708,16,16,0.830885,ns
nrem_bp_theta,6m,B,session_id,0.007818,0.018721,0.069531,0.257787,0.3377,0.58473,16,16,0.827448,ns
nrem_bp_alpha,6m,B,session_id,0.003212,0.007494,0.037412,0.140579,0.3436,0.46238,16,16,0.788148,ns
nrem_bp_beta,6m,B,session_id,0.00291,0.007091,0.043052,0.164194,0.3454,0.417761,16,16,0.788148,ns
nrem_bp_gamma,6m,B,session_id,0.001795,0.004266,0.031518,0.119147,0.3526,0.317913,16,16,0.788148,ns
nrem_rbp_delta,6m,B,session_id,0.32828,0.090374,0.314011,0.083161,-0.1643,0.748699,16,16,0.877382,ns
nrem_rbp_theta,6m,B,session_id,0.314626,0.037393,0.313101,0.049108,-0.0349,0.924933,16,16,0.963472,ns
nrem_rbp_alpha,6m,B,session_id,0.154575,0.022209,0.144426,0.024063,-0.4383,0.168931,16,16,0.788148,ns
nrem_rbp_beta,6m,B,session_id,0.120846,0.037426,0.129883,0.040999,0.2302,0.299994,16,16,0.788148,ns
nrem_rbp_gamma,6m,B,session_id,0.081673,0.04465,0.098579,0.038408,0.4059,0.317913,16,16,0.788148,ns
nrem_td_ratio,6m,B,session_id,1.224256,0.439973,1.20761,0.469466,-0.0366,0.777432,16,16,0.883445,ns
nrem_theta_alpha,6m,B,session_id,2.414929,0.27582,2.543352,0.321394,0.4288,0.206741,16,16,0.788148,ns
nrem_theta_beta,6m,B,session_id,3.247101,1.157658,2.939726,0.974104,-0.2873,0.58473,16,16,0.827448,ns
nrem_slow_fast,6m,B,session_id,4.661388,2.814135,3.568153,1.349338,-0.4954,0.637561,16,16,0.830885,ns
nrem_high_freq_idx,6m,B,session_id,0.202519,0.072968,0.228462,0.066236,0.3723,0.396438,16,16,0.788148,ns
nrem_spectral_entropy,6m,B,session_id,0.867231,0.067305,0.886233,0.043664,0.335,0.610892,16,16,0.830885,ns
nrem_ap_exp,6m,B,session_id,1.708646,0.33199,1.610618,0.288282,-0.3153,0.46238,16,16,0.788148,ns
nrem_total_var,6m,B,session_id,0.118561,0.315543,0.390506,1.489657,0.2526,0.58473,16,16,0.827448,ns
nrem_rms,6m,B,session_id,0.303569,0.478965,0.358677,0.695051,0.0923,0.299994,16,16,0.788148,ns
nrem_p2p,6m,B,session_id,0.640916,0.73685,1.335582,2.760964,0.3438,0.46238,16,16,0.788148,ns
nrem_zcr,6m,B,session_id,0.093525,0.025327,0.090137,0.019313,-0.1504,0.396438,16,16,0.788148,ns
nrem_coeff_var,6m,B,session_id,4.598489,7.23552,8.34017,15.098709,0.316,0.220617,16,16,0.788148,ns
nrem_hjorth_mob,6m,B,session_id,0.304614,0.082762,0.296199,0.071596,-0.1088,0.35581,16,16,0.788148,ns
nrem_hjorth_comp,6m,B,session_id,4.146832,0.851508,3.908286,0.60258,-0.3234,0.336518,16,16,0.788148,ns
nrem_lzc,6m,B,session_id,0.050252,0.000806,0.050093,0.000552,-0.231,0.692302,16,16,0.837462,ns
all_bp_delta,6m,B,session_id,0.500878,0.65817,0.632647,1.042225,0.1512,0.266214,16,16,0.788148,ns
all_bp_theta,6m,B,session_id,0.06351,0.064622,0.164571,0.402761,0.3504,0.206741,16,16,0.788148,ns
all_bp_alpha,6m,B,session_id,0.029964,0.028473,0.093755,0.247967,0.3614,0.168931,16,16,0.788148,ns
all_bp_beta,6m,B,session_id,0.032801,0.030017,0.114486,0.314251,0.3659,0.220617,16,16,0.788148,ns
all_bp_gamma,6m,B,session_id,0.021063,0.019782,0.087666,0.228372,0.4109,0.157557,16,16,0.788148,ns
all_rbp_delta,6m,B,session_id,0.437587,0.100653,0.422318,0.098363,-0.1534,0.637561,16,16,0.830885,ns
all_rbp_theta,6m,B,session_id,0.243025,0.038645,0.241915,0.053406,-0.0238,1.0,16,16,1.0,ns
all_rbp_alpha,6m,B,session_id,0.130933,0.02602,0.123647,0.032774,-0.2462,0.534029,16,16,0.827448,ns
all_rbp_beta,6m,B,session_id,0.109716,0.037697,0.116443,0.03901,0.1754,0.417761,16,16,0.788148,ns
