feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
all_rbp_gamma,6m,B,session_id,0.078739,0.040794,0.095677,0.039503,0.4218,0.375785,16,16,0.788148,ns
all_td_ratio,6m,B,session_id,0.79282,0.251105,0.807732,0.322269,0.0516,0.835784,16,16,0.921821,ns
all_theta_alpha,6m,B,session_id,2.210156,0.214878,2.34264,0.343112,0.4628,0.180911,16,16,0.788148,ns
all_theta_beta,6m,B,session_id,2.839621,0.929612,2.612477,0.808767,-0.2607,0.637561,16,16,0.830885,ns
all_slow_fast,6m,B,session_id,16.473819,11.192046,68.396295,208.036677,0.3525,0.375785,16,16,0.788148,ns
all_high_freq_idx,6m,B,session_id,0.188455,0.06754,0.21212,0.06192,0.3652,0.375785,16,16,0.788148,ns
all_spectral_entropy,6m,B,session_id,0.79652,0.092349,0.810473,0.079072,0.1623,0.664708,16,16,0.830885,ns
all_ap_exp,6m,B,session_id,1.712986,0.288604,1.618924,0.23939,-0.3548,0.375785,16,16,0.788148,ns
all_total_var,6m,B,session_id,1.20467,1.523374,1.59944,2.824629,0.174,0.417761,16,16,0.788148,ns
all_rms,6m,B,session_id,0.592747,0.725064,0.66403,0.834752,0.0912,0.336518,16,16,0.788148,ns
all_p2p,6m,B,session_id,1.87266,1.534248,2.564283,2.786131,0.3075,0.250345,16,16,0.788148,ns
all_zcr,6m,B,session_id,0.084528,0.024981,0.084147,0.026448,-0.0148,0.396438,16,16,0.788148,ns
all_coeff_var,6m,B,session_id,10.020265,11.483547,8.043557,9.942799,-0.184,0.954917,16,16,0.981079,ns
all_hjorth_mob,6m,B,session_id,0.286797,0.078363,0.285021,0.094559,-0.0204,0.417761,16,16,0.788148,ns
all_hjorth_comp,6m,B,session_id,5.56514,1.782959,5.444371,1.736585,-0.0686,0.895055,16,16,0.958988,ns
all_lzc,6m,B,session_id,0.050553,0.000789,0.050403,0.000562,-0.2194,0.806473,16,16,0.902768,ns
