feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
wake_bp_delta,7m,A,animal_id,0.375066,0.269147,0.689376,0.591738,0.6838,0.228438,8,6,0.989289,ns
wake_bp_theta,7m,A,animal_id,0.075372,0.040054,0.170492,0.163247,0.8003,0.181152,8,6,0.989289,ns
wake_bp_alpha,7m,A,animal_id,0.038682,0.021601,0.085218,0.07989,0.7952,0.228438,8,6,0.989289,ns
wake_bp_beta,7m,A,animal_id,0.047597,0.026513,0.093053,0.087772,0.7011,0.413586,8,6,0.989289,ns
wake_bp_gamma,7m,A,animal_id,0.028051,0.016421,0.054204,0.05094,0.6911,0.490842,8,6,0.989289,ns
wake_rbp_delta,7m,A,animal_id,0.444143,0.118472,0.473929,0.115776,0.2543,0.754579,8,6,0.989289,ns
wake_rbp_theta,7m,A,animal_id,0.227758,0.032237,0.222101,0.063909,-0.1118,0.662005,8,6,0.989289,ns
wake_rbp_alpha,7m,A,animal_id,0.132242,0.029693,0.121938,0.041724,-0.2846,0.662005,8,6,0.989289,ns
wake_rbp_beta,7m,A,animal_id,0.118715,0.042548,0.107103,0.024031,-0.3361,0.662005,8,6,0.989289,ns
wake_rbp_gamma,7m,A,animal_id,0.077142,0.031164,0.07493,0.026317,-0.0767,0.851815,8,6,0.989289,ns
wake_td_ratio,7m,A,animal_id,0.687489,0.263758,0.624753,0.247764,-0.2452,0.851815,8,6,0.989289,ns
wake_theta_alpha,7m,A,animal_id,2.121718,0.303748,2.246851,0.271761,0.4342,0.413586,8,6,0.989289,ns
wake_theta_beta,7m,A,animal_id,2.626231,0.839134,2.587914,0.503238,-0.0554,0.851815,8,6,0.989289,ns
wake_slow_fast,7m,A,animal_id,76.513637,120.807704,14.799621,11.023082,-0.7195,0.572761,8,6,0.989289,ns
wake_high_freq_idx,7m,A,animal_id,0.195857,0.068419,0.182033,0.027179,-0.2656,0.572761,8,6,0.989289,ns
wake_spectral_entropy,7m,A,animal_id,0.801779,0.096886,0.775316,0.103452,-0.264,0.413586,8,6,0.989289,ns
wake_ap_exp,7m,A,animal_id,1.690359,0.251774,1.707898,0.149781,0.0847,0.572761,8,6,0.989289,ns
wake_total_var,7m,A,animal_id,0.822647,0.581126,1.439884,1.221357,0.6454,0.228438,8,6,0.989289,ns
wake_rms,7m,A,animal_id,0.358607,0.164622,0.545559,0.30242,0.7679,0.181152,8,6,0.989289,ns
wake_p2p,7m,A,animal_id,1.974826,0.682483,3.112217,1.382988,1.043,0.059274,8,6,0.989289,ns
wake_zcr,7m,A,animal_id,0.085662,0.027416,0.12104,0.100806,0.4789,1.0,8,6,1.0,ns
wake_coeff_var,7m,A,animal_id,47.257644,83.48841,16.687373,24.851503,-0.4963,0.662005,8,6,0.989289,ns
wake_hjorth_mob,7m,A,animal_id,0.293854,0.076915,0.384158,0.274236,0.4484,0.949717,8,6,0.989289,ns
wake_hjorth_comp,7m,A,animal_id,5.903769,3.526057,4.495303,0.833613,-0.5497,0.662005,8,6,0.989289,ns
wake_lzc,7m,A,animal_id,0.05046,0.000914,0.050604,0.000765,0.1708,0.662005,8,6,0.989289,ns
nrem_bp_delta,7m,A,animal_id,0.001216,0.001108,0.014635,0.021993,0.8618,0.282384,8,6,0.989289,ns
nrem_bp_theta,7m,A,animal_id,0.001776,0.001853,0.011955,0.013011,1.0954,0.344988,8,6,0.989289,ns
nrem_bp_alpha,7m,A,animal_id,0.000956,0.001077,0.005509,0.005827,1.0865,0.344988,8,6,0.989289,ns
nrem_bp_beta,7m,A,animal_id,0.000814,0.000948,0.005106,0.005894,1.0169,0.282384,8,6,0.989289,ns
