feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
wake_bp_delta,4m,A,animal_id,0.496459,0.803478,0.59758,0.890538,0.1192,0.505361,8,8,0.689129,ns
wake_bp_theta,4m,A,animal_id,0.067961,0.116911,0.181911,0.326103,0.4652,0.234499,8,8,0.606463,ns
wake_bp_alpha,4m,A,animal_id,0.033879,0.058704,0.119356,0.24491,0.48,0.278632,8,8,0.647773,ns
wake_bp_beta,4m,A,animal_id,0.035775,0.060621,0.228494,0.468787,0.5766,0.194872,8,8,0.584616,ns
wake_bp_gamma,4m,A,animal_id,0.041174,0.08437,0.130757,0.310885,0.3933,0.505361,8,8,0.689129,ns
wake_rbp_delta,4m,A,animal_id,0.594394,0.126249,0.498448,0.104482,-0.828,0.130381,8,8,0.584616,ns
wake_rbp_theta,4m,A,animal_id,0.140499,0.036001,0.189968,0.047124,1.1797,0.064957,8,8,0.405981,ns
wake_rbp_alpha,4m,A,animal_id,0.066808,0.013486,0.091729,0.026207,1.1958,0.020668,8,8,0.221443,*
wake_rbp_beta,4m,A,animal_id,0.080683,0.019524,0.135834,0.062582,1.1897,0.010412,8,8,0.184538,*
wake_rbp_gamma,4m,A,animal_id,0.117616,0.107867,0.084021,0.036496,-0.4172,0.95913,8,8,0.972091,ns
wake_td_ratio,4m,A,animal_id,0.353729,0.136183,0.616198,0.237611,1.3553,0.037918,8,8,0.284385,*
wake_theta_alpha,4m,A,animal_id,2.724546,0.62131,2.642005,0.506631,-0.1456,0.798446,8,8,0.867876,ns
wake_theta_beta,4m,A,animal_id,3.072514,0.943183,2.826735,1.153044,-0.2333,0.505361,8,8,0.689129,ns
wake_slow_fast,4m,A,animal_id,221.88103,480.117351,174.261914,443.360213,-0.103,0.160528,8,8,0.584616,ns
wake_high_freq_idx,4m,A,animal_id,0.198299,0.117678,0.219855,0.084508,0.2104,0.441803,8,8,0.689129,ns
wake_spectral_entropy,4m,A,animal_id,0.643464,0.092115,0.719362,0.121814,0.7028,0.130381,8,8,0.584616,ns
wake_ap_exp,4m,A,animal_id,1.654677,0.323243,1.672174,0.332444,0.0534,0.573737,8,8,0.754917,ns
wake_total_var,4m,A,animal_id,1.271157,1.958898,1.630473,2.90687,0.145,0.95913,8,8,0.972091,ns
wake_rms,4m,A,animal_id,0.621063,0.762453,0.706811,0.985178,0.0973,0.95913,8,8,0.972091,ns
wake_p2p,4m,A,animal_id,2.069099,1.706122,3.287508,3.392139,0.4538,0.328205,8,8,0.647773,ns
wake_zcr,4m,A,animal_id,0.127866,0.099046,0.086352,0.033712,-0.5611,0.505361,8,8,0.689129,ns
wake_coeff_var,4m,A,animal_id,73.863341,112.054512,87.100479,58.597715,0.148,0.234499,8,8,0.606463,ns
wake_hjorth_mob,4m,A,animal_id,0.394671,0.235469,0.295227,0.101057,-0.5488,0.505361,8,8,0.689129,ns
wake_hjorth_comp,4m,A,animal_id,6.453728,3.324842,5.3381,2.12397,-0.3999,0.720901,8,8,0.831809,ns
wake_lzc,4m,A,animal_id,0.050632,0.001335,0.050374,0.00076,-0.237,0.382284,8,8,0.689129,ns
nrem_bp_delta,4m,A,animal_id,0.062095,0.166859,0.09302,0.199482,0.1682,0.194872,8,8,0.584616,ns
nrem_bp_theta,4m,A,animal_id,0.021974,0.056707,0.055133,0.117733,0.3589,0.194872,8,8,0.584616,ns
nrem_bp_alpha,4m,A,animal_id,0.009502,0.024676,0.031108,0.072387,0.3995,0.160528,8,8,0.584616,ns
nrem_bp_beta,4m,A,animal_id,0.008445,0.021272,0.074413,0.167633,0.5521,0.194872,8,8,0.584616,ns
nrem_bp_gamma,4m,A,animal_id,0.007988,0.018026,0.029332,0.075492,0.3889,0.328205,8,8,0.647773,ns
nrem_rbp_delta,4m,A,animal_id,0.425569,0.111987,0.326822,0.07446,-1.0384,0.064957,8,8,0.405981,ns
nrem_rbp_theta,4m,A,animal_id,0.232072,0.044253,0.289798,0.049229,1.2333,0.037918,8,8,0.284385,*
nrem_rbp_alpha,4m,A,animal_id,0.095487,0.015157,0.11828,0.018697,1.3392,0.014763,8,8,0.184538,*
nrem_rbp_beta,4m,A,animal_id,0.105978,0.016184,0.166688,0.068071,1.2271,0.001865,8,8,0.139875,**
nrem_rbp_gamma,4m,A,animal_id,0.140894,0.115024,0.098413,0.042197,-0.4903,0.720901,8,8,0.831809,ns
nrem_td_ratio,4m,A,animal_id,0.698347,0.218802,1.233578,0.348519,1.8394,0.004662,8,8,0.174825,**
nrem_theta_alpha,4m,A,animal_id,2.957256,0.73417,3.023035,0.430687,0.1093,0.505361,8,8,0.689129,ns
nrem_theta_beta,4m,A,animal_id,3.118808,1.264788,2.913303,0.843003,-0.1912,1.0,8,8,1.0,ns
nrem_slow_fast,4m,A,animal_id,5.318925,3.245029,4.646064,2.874969,-0.2195,0.505361,8,8,0.689129,ns
nrem_high_freq_idx,4m,A,animal_id,0.246871,0.122809,0.265101,0.088364,0.1704,0.382284,8,8,0.689129,ns
nrem_spectral_entropy,4m,A,animal_id,0.803923,0.050346,0.837662,0.06067,0.6052,0.278632,8,8,0.647773,ns
nrem_ap_exp,4m,A,animal_id,1.576241,0.331899,1.527113,0.282401,-0.1594,0.505361,8,8,0.689129,ns
nrem_total_var,4m,A,animal_id,0.167193,0.445908,0.329221,0.74984,0.2627,0.194872,8,8,0.584616,ns
nrem_rms,4m,A,animal_id,0.342273,0.62386,0.405238,0.686063,0.096,0.720901,8,8,0.831809,ns
nrem_p2p,4m,A,animal_id,0.977626,1.233197,1.79764,2.238623,0.4537,0.328205,8,8,0.647773,ns
nrem_zcr,4m,A,animal_id,0.15808,0.127335,0.09691,0.031549,-0.6594,0.278632,8,8,0.647773,ns
nrem_coeff_var,4m,A,animal_id,64.44205,93.425492,81.730002,103.638474,0.1752,0.573737,8,8,0.754917,ns
nrem_hjorth_mob,4m,A,animal_id,0.465095,0.317277,0.315992,0.092162,-0.6382,0.441803,8,8,0.689129,ns
nrem_hjorth_comp,4m,A,animal_id,3.758735,1.766984,4.070303,1.230398,0.2046,0.720901,8,8,0.831809,ns
nrem_lzc,4m,A,animal_id,0.050053,0.001509,0.049983,0.000757,-0.0587,0.645377,8,8,0.806721,ns
all_bp_delta,4m,A,animal_id,0.348814,0.605863,0.44427,0.696603,0.1462,0.645377,8,8,0.806721,ns
all_bp_theta,4m,A,animal_id,0.051843,0.096955,0.142812,0.263195,0.4587,0.234499,8,8,0.606463,ns
all_bp_alpha,4m,A,animal_id,0.025491,0.047677,0.092825,0.193845,0.477,0.234499,8,8,0.606463,ns
all_bp_beta,4m,A,animal_id,0.02644,0.048002,0.182504,0.380323,0.5758,0.160528,8,8,0.584616,ns
all_bp_gamma,4m,A,animal_id,0.030305,0.063811,0.100291,0.240121,0.3984,0.441803,8,8,0.689129,ns
all_rbp_delta,4m,A,animal_id,0.530341,0.117454,0.439721,0.093041,-0.8553,0.130381,8,8,0.584616,ns
all_rbp_theta,4m,A,animal_id,0.17491,0.036324,0.224158,0.047465,1.1653,0.082984,8,8,0.478754,ns
all_rbp_alpha,4m,A,animal_id,0.077627,0.012635,0.100679,0.023544,1.2201,0.028127,8,8,0.263691,*
all_rbp_beta,4m,A,animal_id,0.090464,0.017216,0.145985,0.062755,1.2066,0.006993,8,8,0.174825,**
all_rbp_gamma,4m,A,animal_id,0.126658,0.110886,0.089457,0.03808,-0.4487,0.798446,8,8,0.867876,ns
all_td_ratio,4m,A,animal_id,0.481486,0.157435,0.828357,0.257215,1.6266,0.014763,8,8,0.184538,*
all_theta_alpha,4m,A,animal_id,2.804142,0.661577,2.771952,0.447972,-0.057,0.878477,8,8,0.941225,ns
all_theta_beta,4m,A,animal_id,3.060955,1.001718,2.848567,1.019823,-0.2101,0.720901,8,8,0.831809,ns
all_slow_fast,4m,A,animal_id,133.960673,281.809287,105.24938,260.164822,-0.1059,0.194872,8,8,0.584616,ns
all_high_freq_idx,4m,A,animal_id,0.217122,0.119493,0.235442,0.083826,0.1775,0.441803,8,8,0.689129,ns
all_spectral_entropy,4m,A,animal_id,0.705585,0.067993,0.759717,0.101694,0.6258,0.328205,8,8,0.647773,ns
all_ap_exp,4m,A,animal_id,1.621791,0.324619,1.619405,0.312461,-0.0075,0.645377,8,8,0.806721,ns
all_total_var,4m,A,animal_id,0.889887,1.480381,1.232784,2.276135,0.1786,0.798446,8,8,0.867876,ns
all_rms,4m,A,animal_id,0.515599,0.709581,0.608861,0.891963,0.1157,0.95913,8,8,0.972091,ns
all_p2p,4m,A,animal_id,1.664221,1.535376,2.78358,3.022068,0.467,0.505361,8,8,0.689129,ns
all_zcr,4m,A,animal_id,0.140734,0.112308,0.090391,0.033651,-0.6073,0.328205,8,8,0.647773,ns
all_coeff_var,4m,A,animal_id,70.530515,104.60894,85.298393,73.087366,0.1637,0.328205,8,8,0.647773,ns
all_hjorth_mob,4m,A,animal_id,0.424955,0.272718,0.303822,0.099498,-0.5901,0.441803,8,8,0.689129,ns
all_hjorth_comp,4m,A,animal_id,5.39981,2.542998,4.905562,1.817328,-0.2236,0.798446,8,8,0.867876,ns
all_lzc,4m,A,animal_id,0.050421,0.001398,0.050239,0.000753,-0.1621,0.505361,8,8,0.689129,ns
