feature,timepoint,tp_x,wt_mean,wt_sem,ko_mean,ko_sem,cohens_d,pval,n_wt,n_ko,scenario,pval_fdr,sig
wake_spectral_entropy,3m,3,0.7465873859289814,0.03948026559277645,0.7506619026426596,0.0241770431961211,0.04148932677941311,0.859819205054158,9,9,A_animal,1.0,ns
wake_ap_exp,3m,3,1.744487024264271,0.14909413361489318,1.744858355998118,0.07097384691703705,0.0010600889917468605,0.7910815129207817,9,9,A_animal,1.0,ns
wake_total_var,3m,3,0.9560129782986415,0.18426872266175862,1.3337757564209658,0.30874193412819895,0.49528256470875814,0.37722461666745344,9,9,A_animal,1.0,ns
wake_rms,3m,3,0.3890696153880708,0.06331528185550386,0.5741133133759101,0.10496618016604092,0.7115999164729365,0.1333202155896274,9,9,A_animal,1.0,ns
wake_p2p,3m,3,2.551085004397832,0.4199261212658752,3.388836048631844,0.4679897596516957,0.6280822957734139,0.11196135426374831,9,9,A_animal,1.0,ns
wake_zcr,3m,3,0.08284252946515452,0.010480780723360643,0.07137022711022567,0.004263065350948513,-0.47797430013610037,0.42677673653298365,9,9,A_animal,1.0,ns
wake_coeff_var,3m,3,18.225421287247585,5.558116803450521,20.598679664035107,7.2623334898367835,0.12233393389247553,1.0,9,9,A_animal,1.0,ns
wake_hjorth_mob,3m,3,0.28325022736914246,0.03469817371080304,0.2455084309772688,0.013626419834021445,-0.4772706754307948,0.42677673653298365,9,9,A_animal,1.0,ns
wake_hjorth_comp,3m,3,5.478605365917382,0.5648651331335354,5.705863348592229,0.4963892832267692,0.14246435266378027,0.859819205054158,9,9,A_animal,1.0,ns
wake_lzc,3m,3,0.05045592936301456,0.00033710595798221106,0.050620032716179555,0.0001607208276226943,0.20712555896929719,0.9296365245070707,9,9,A_animal,1.0,ns
nrem_bp_delta,3m,3,0.0026787376171027288,0.0010665428115923892,0.016063776503485498,0.010474681209453147,0.5992842082891338,0.21637300805763748,9,9,A_animal,1.0,ns
nrem_bp_theta,3m,3,0.0025886325581614203,0.0010431894432950618,0.013228848816394675,0.006339530667134098,0.7807020488355333,0.0933976745287926,9,9,A_animal,1.0,ns
nrem_bp_alpha,3m,3,0.0013151911034143323,0.0005202155258262146,0.0121140417953055,0.008528562701036616,0.5957841489627914,0.1333202155896274,9,9,A_animal,1.0,ns
nrem_bp_beta,3m,3,0.001107056376465423,0.0004923962844610813,0.01243448681381857,0.009546376644830436,0.5586111374828773,0.18532630419857943,9,9,A_animal,1.0,ns
nrem_bp_gamma,3m,3,0.0005435129762587527,0.0002614832968387267,0.005301268864405541,0.0036503524635432736,0.6128431873284695,0.1333202155896274,9,9,A_animal,1.0,ns
nrem_rbp_delta,3m,3,0.30937121690070224,0.03416878473421945,0.2914056261855553,0.019198770268943163,-0.21608553245033962,0.5364994693194564,9,9,A_animal,1.0,ns
nrem_rbp_theta,3m,3,0.2993099617606599,0.00934208481500414,0.33045814093087894,0.016923924070869605,0.7595711735538082,0.11196135426374831,9,9,A_animal,1.0,ns
nrem_rbp_alpha,3m,3,0.1687617641236999,0.00844083304607734,0.16541112368086033,0.007923010832644068,-0.13643753665881347,0.7910815129207817,9,9,A_animal,1.0,ns
nrem_rbp_beta,3m,3,0.15025008486948202,0.016567182530014248,0.14308740425957245,0.017433346729277238,-0.14039697915679172,0.9296365245070707,9,9,A_animal,1.0,ns
nrem_rbp_gamma,3m,3,0.07230697030827057,0.015184469405458067,0.06963770455308442,0.009373841527748485,-0.07051374323425284,1.0,9,9,A_animal,1.0,ns
