feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
wake_bp_delta,3m,A,animal_id,0.447818,0.231632,0.611917,0.373522,0.528,0.377225,9,9,0.94142,ns
wake_bp_theta,3m,A,animal_id,0.107976,0.062473,0.157238,0.105543,0.568,0.216373,9,9,0.854104,ns
wake_bp_alpha,3m,A,animal_id,0.053188,0.032877,0.083986,0.079493,0.5063,0.479929,9,9,0.999852,ns
wake_bp_beta,3m,A,animal_id,0.061664,0.040474,0.101243,0.120549,0.4402,0.658843,9,9,1.0,ns
wake_bp_gamma,3m,A,animal_id,0.03902,0.028077,0.053511,0.05663,0.3242,0.929637,9,9,1.0,ns
wake_rbp_delta,3m,A,animal_id,0.489638,0.124545,0.495652,0.064876,0.0606,1.0,9,9,1.0,ns
wake_rbp_theta,3m,A,animal_id,0.194256,0.025289,0.213274,0.037963,0.5896,0.185326,9,9,0.817615,ns
wake_rbp_alpha,3m,A,animal_id,0.122606,0.028568,0.120171,0.022712,-0.0944,0.929637,9,9,1.0,ns
wake_rbp_beta,3m,A,animal_id,0.123922,0.0477,0.110832,0.039246,-0.2997,0.929637,9,9,1.0,ns
wake_rbp_gamma,3m,A,animal_id,0.069578,0.044977,0.060071,0.016675,-0.2803,1.0,9,9,1.0,ns
wake_td_ratio,3m,A,animal_id,0.61875,0.257662,0.590348,0.146105,-0.1356,0.859819,9,9,1.0,ns
wake_theta_alpha,3m,A,animal_id,2.070269,0.307973,2.315841,0.337778,0.7598,0.13332,9,9,0.817615,ns
wake_theta_beta,3m,A,animal_id,2.796297,1.193443,3.180027,1.118834,0.3317,0.426777,9,9,0.94142,ns
wake_slow_fast,3m,A,animal_id,133.200594,348.223035,229.245265,413.648768,0.2512,0.859819,9,9,1.0,ns
wake_high_freq_idx,3m,A,animal_id,0.193501,0.089911,0.170903,0.043957,-0.3193,0.929637,9,9,1.0,ns
wake_spectral_entropy,3m,A,animal_id,0.746587,0.118441,0.750662,0.072531,0.0415,0.859819,9,9,1.0,ns
wake_ap_exp,3m,A,animal_id,1.744487,0.447282,1.744858,0.212922,0.0011,0.791082,9,9,1.0,ns
wake_total_var,3m,A,animal_id,0.956013,0.552806,1.333776,0.926226,0.4953,0.377225,9,9,0.94142,ns
wake_rms,3m,A,animal_id,0.38907,0.189946,0.574113,0.314899,0.7116,0.13332,9,9,0.817615,ns
wake_p2p,3m,A,animal_id,2.551085,1.259778,3.388836,1.403969,0.6281,0.111961,9,9,0.817615,ns
wake_zcr,3m,A,animal_id,0.082843,0.031442,0.07137,0.012789,-0.478,0.426777,9,9,0.94142,ns
wake_coeff_var,3m,A,animal_id,18.225421,16.67435,20.59868,21.787,0.1223,1.0,9,9,1.0,ns
wake_hjorth_mob,3m,A,animal_id,0.28325,0.104095,0.245508,0.040879,-0.4773,0.426777,9,9,0.94142,ns
wake_hjorth_comp,3m,A,animal_id,5.478605,1.694595,5.705863,1.489168,0.1425,0.859819,9,9,1.0,ns
wake_lzc,3m,A,animal_id,0.050456,0.001011,0.05062,0.000482,0.2071,0.929637,9,9,1.0,ns
nrem_bp_delta,3m,A,animal_id,0.002679,0.0032,0.016064,0.031424,0.5993,0.216373,9,9,0.854104,ns
nrem_bp_theta,3m,A,animal_id,0.002589,0.00313,0.013229,0.019019,0.7807,0.093398,9,9,0.817615,ns
nrem_bp_alpha,3m,A,animal_id,0.001315,0.001561,0.012114,0.025586,0.5958,0.13332,9,9,0.817615,ns
nrem_bp_beta,3m,A,animal_id,0.001107,0.001477,0.012434,0.028639,0.5586,0.185326,9,9,0.817615,ns
nrem_bp_gamma,3m,A,animal_id,0.000544,0.000784,0.005301,0.010951,0.6128,0.13332,9,9,0.817615,ns
nrem_rbp_delta,3m,A,animal_id,0.309371,0.102506,0.291406,0.057596,-0.2161,0.536499,9,9,1.0,ns
nrem_rbp_theta,3m,A,animal_id,0.29931,0.028026,0.330458,0.050772,0.7596,0.111961,9,9,0.817615,ns
nrem_rbp_alpha,3m,A,animal_id,0.168762,0.025322,0.165411,0.023769,-0.1364,0.791082,9,9,1.0,ns
nrem_rbp_beta,3m,A,animal_id,0.15025,0.049702,0.143087,0.0523,-0.1404,0.929637,9,9,1.0,ns
nrem_rbp_gamma,3m,A,animal_id,0.072307,0.045553,0.069638,0.028122,-0.0705,1.0,9,9,1.0,ns
nrem_td_ratio,3m,A,animal_id,1.340902,0.743155,1.362015,0.385704,0.0357,0.250998,9,9,0.941242,ns
nrem_theta_alpha,3m,A,animal_id,2.140421,0.276854,2.426245,0.378512,0.8619,0.04226,9,9,0.817615,*
nrem_theta_beta,3m,A,animal_id,2.68596,0.982203,3.124695,1.077255,0.4256,0.426777,9,9,0.94142,ns
nrem_slow_fast,3m,A,animal_id,4.454304,2.891909,3.917357,1.172888,-0.2433,0.859819,9,9,1.0,ns
nrem_high_freq_idx,3m,A,animal_id,0.222557,0.092578,0.212725,0.063648,-0.1238,0.929637,9,9,1.0,ns
nrem_spectral_entropy,3m,A,animal_id,0.870107,0.065379,0.869156,0.050533,-0.0163,1.0,9,9,1.0,ns
nrem_ap_exp,3m,A,animal_id,1.672678,0.451512,1.649413,0.266775,-0.0627,0.859819,9,9,1.0,ns
nrem_total_var,3m,A,animal_id,0.00938,0.0122,0.066677,0.133344,0.6051,0.185326,9,9,0.817615,ns
nrem_rms,3m,A,animal_id,0.093407,0.053796,0.200017,0.18072,0.7996,0.13332,9,9,0.817615,ns
nrem_p2p,3m,A,animal_id,0.488834,0.339292,0.983344,0.731471,0.8673,0.111961,9,9,0.817615,ns
nrem_zcr,3m,A,animal_id,0.095101,0.029619,0.082884,0.014556,-0.5235,0.289315,9,9,0.94142,ns
