feature,timepoint,scenario,unit,wt_mean,wt_std,ko_mean,ko_std,cohens_d,pval,n_wt,n_ko,pval_fdr,sig
nrem_coeff_var,3m,A,animal_id,10.063329,11.429817,10.567415,15.506971,0.037,1.0,9,9,1.0,ns
nrem_hjorth_mob,3m,A,animal_id,0.304517,0.095557,0.269423,0.044599,-0.4706,0.377225,9,9,0.94142,ns
nrem_hjorth_comp,3m,A,animal_id,4.371092,1.329958,4.19301,0.524299,-0.1762,0.723932,9,9,1.0,ns
nrem_lzc,3m,A,animal_id,0.050074,0.000905,0.050226,0.000414,0.2167,0.791082,9,9,1.0,ns
all_bp_delta,3m,A,animal_id,0.275609,0.136894,0.380129,0.252937,0.5139,0.426777,9,9,0.94142,ns
all_bp_theta,3m,A,animal_id,0.06703,0.037156,0.101077,0.075231,0.5739,0.289315,9,9,0.94142,ns
all_bp_alpha,3m,A,animal_id,0.032993,0.01968,0.056364,0.061755,0.5099,0.596242,9,9,1.0,ns
all_bp_beta,3m,A,animal_id,0.038007,0.024167,0.067439,0.089755,0.4478,0.658843,9,9,1.0,ns
all_bp_gamma,3m,A,animal_id,0.02384,0.016643,0.035544,0.042739,0.3609,0.859819,9,9,1.0,ns
all_rbp_delta,3m,A,animal_id,0.421674,0.114419,0.415077,0.061138,-0.0719,0.859819,9,9,1.0,ns
all_rbp_theta,3m,A,animal_id,0.233845,0.023827,0.259461,0.042242,0.7469,0.077389,9,9,0.817615,ns
all_rbp_alpha,3m,A,animal_id,0.140071,0.026127,0.137834,0.022365,-0.092,0.929637,9,9,1.0,ns
all_rbp_beta,3m,A,animal_id,0.133734,0.048342,0.123555,0.04313,-0.2222,1.0,9,9,1.0,ns
all_rbp_gamma,3m,A,animal_id,0.070676,0.044942,0.064073,0.021049,-0.1882,0.791082,9,9,1.0,ns
all_td_ratio,3m,A,animal_id,0.883142,0.415615,0.893145,0.234369,0.0296,0.377225,9,9,0.94142,ns
all_theta_alpha,3m,A,animal_id,2.092997,0.28189,2.357402,0.335456,0.8534,0.111961,9,9,0.817615,ns
all_theta_beta,3m,A,animal_id,2.744431,1.057014,3.147214,1.072687,0.3782,0.479929,9,9,0.999852,ns
all_slow_fast,3m,A,animal_id,78.816921,199.596841,129.624597,228.063142,0.2371,0.723932,9,9,1.0,ns
all_high_freq_idx,3m,A,animal_id,0.20441,0.090542,0.187628,0.050381,-0.229,0.929637,9,9,1.0,ns
all_spectral_entropy,3m,A,animal_id,0.794218,0.095843,0.798053,0.061393,0.0477,0.859819,9,9,1.0,ns
all_ap_exp,3m,A,animal_id,1.716575,0.444592,1.705897,0.231815,-0.0301,1.0,9,9,1.0,ns
all_total_var,3m,A,animal_id,0.588166,0.329427,0.844591,0.661464,0.4907,0.426777,9,9,0.94142,ns
all_rms,3m,A,animal_id,0.274228,0.130745,0.426477,0.269239,0.7194,0.157704,9,9,0.817615,ns
all_p2p,3m,A,animal_id,1.747537,0.834059,2.42091,1.120387,0.6818,0.185326,9,9,0.817615,ns
all_zcr,3m,A,animal_id,0.087597,0.030464,0.076278,0.012892,-0.4839,0.426777,9,9,0.94142,ns
all_coeff_var,3m,A,animal_id,15.296189,14.891974,16.679412,18.308266,0.0829,0.859819,9,9,1.0,ns
all_hjorth_mob,3m,A,animal_id,0.29149,0.100034,0.256004,0.040993,-0.4642,0.426777,9,9,0.94142,ns
all_hjorth_comp,3m,A,animal_id,5.054401,1.530013,5.101132,1.041119,0.0357,0.929637,9,9,1.0,ns
all_lzc,3m,A,animal_id,0.050308,0.000965,0.050462,0.000443,0.2055,0.929637,9,9,1.0,ns
